STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
TN,2024-01-01,0.011670480549199,68.93546961373627,-1.223728813559322,9.75677966101695,4.281623931623932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2024-01-02,0.0017977528089887,68.22998119290132,-2.292125984251969,5.236290322580645,1.488709677419355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TN,2024-01-03,0.0045045045045045,83.14698422546626,-4.972307692307692,6.095348837209302,0.5593023255813954,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
TN,2024-01-04,0.0426966292134831,77.33682755302294,-4.228125,4.936220472440945,0.3547244094488189,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2024-01-05,0.2324200913242009,73.02375075323134,-5.812307692307693,6.017692307692308,0.1026923076923077,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
TN,2024-01-06,10.42847965738758,87.09928830912497,-1.7951612903225806,7.75,2.97741935483871,15.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
TN,2024-01-07,1.945454545454545,79.16803838717395,0.6196850393700788,7.226984126984127,3.9480158730158728,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
TN,2024-01-08,1.268192219679634,73.52083856882336,-3.6320610687022894,8.486259541984733,2.4270992366412214,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2024-01-09,37.72620545073376,84.11627504318237,-0.7753846153846153,10.186259541984734,4.695384615384615,10.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0
TN,2024-01-10,9.885217391304348,70.13527805883666,-0.0629921259842519,8.65234375,4.278346456692914,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0
TN,2024-01-11,0.1190366972477064,61.17250508824467,-1.2102362204724408,9.324409448818898,4.067063492063492,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2024-01-12,4.541575492341357,79.08744164931933,-0.6682539682539683,12.870866141732284,6.088492063492064,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
TN,2024-01-13,13.728824833702882,64.10242532425329,-3.1377952755905514,9.9208,3.4264,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
TN,2024-01-14,0.2547169811320754,63.62026338200194,-6.334677419354839,4.055284552845529,-1.0995867768595042,7.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
TN,2024-01-15,7.085175202156334,84.33326665714182,-8.89090909090909,-1.6008196721311476,-5.25,9.0,2.0,0.0,6.0,0.0,5.0,3.0,1.0,0.0
TN,2024-01-16,9.275555555555554,74.72843882841242,-13.43658536585366,-5.8575,-9.636666666666668,7.0,0.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0
TN,2024-01-17,0.1391521197007481,66.66391908333266,-19.3752,-4.940322580645161,-12.166532258064516,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
TN,2024-01-18,0.1980487804878048,68.11791589192573,-15.708661417322835,-1.15625,-8.432677165354331,12.0,0.0,0.0,2.0,0.0,9.0,4.0,0.0,0.0
TN,2024-01-19,2.4679900744416874,82.8125100755364,-10.025806451612905,0.9943548387096774,-4.505284552845528,11.0,1.0,0.0,3.0,0.0,8.0,5.0,0.0,0.0
TN,2024-01-20,0.274009900990099,66.00392685731856,-14.302439024390244,-3.518333333333333,-8.941176470588236,2.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0
