areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
AR005,2804458,27512602,Arkana,92,A,0,18,0.06,3.0,5.8
AR005,2804458,27512603,Moko,4,A,0,25,0.11,3.0,7.2
AR005,2804458,27512604,Gassville,2,A,0,8,0.06,2.0,6.3
AR005,2804458,27512605,Ventris,2,A,0,13,0.12,2.0,6.3
AR005,2804469,27512648,Arkana,55,Oi,0,2,0.01,69.0,4.3
AR005,2804469,27512649,Moko,40,A1,0,8,0.09,5.0,7.2
AR005,2804480,27512667,Arkana,55,Oi,0,2,0.01,69.0,4.3
AR005,2804480,27512668,Moko,40,A1,0,13,0.09,5.0,7.2
AR005,2804491,27512696,Arkana,55,Oi,0,2,0.01,69.0,4.3
AR005,2804491,27512697,Moko,35,A1,0,13,0.09,5.0,7.2
AR005,2804495,27512713,Britwater,95,Ap,0,18,0.17,1.2,5.8
AR005,2804495,27512714,Elsah,3,A,0,38,0.11,0.75,6.5
AR005,2804495,27512715,Clarksville,2,A,0,25,0.1,1.25,4.8
AR005,2804496,27512716,Noark,3,A,0,10,0.11,2.0,5.5
AR005,2804496,27512717,Razort,2,A,0,25,0.16,2.0,6.7
AR005,2804496,27512718,Britwater,95,Ap,0,18,0.17,1.2,5.8
AR005,2804497,27512719,Razort,2,A,0,25,0.16,2.0,6.7
AR005,2804497,27512720,Britwater,95,Ap,0,15,0.14,1.25,5.3
AR005,2804497,27512721,Noark,3,A,0,10,0.11,2.0,5.5
AR005,2804498,27512722,Brockwell,100,A,0,13,0.13,1.25,5.3
AR005,2804499,27512723,Portia,10,Ap,0,10,0.14,1.7,5.9
AR005,2804499,27512724,Boden,3,Ap,0,18,0.1,2.0,5.0
AR005,2804499,27512725,Estate,2,A,0,8,0.11,1.7,5.9
AR005,2804499,27512726,Brockwell,85,Ap,0,15,0.1,1.7,5.3
AR005,2804459,27512606,Portia,10,Ap,0,10,0.14,1.7,5.9
AR005,2804459,27512607,Boden,3,Ap,0,18,0.1,2.0,5.0
AR005,2804459,27512608,Estate,2,A,0,8,0.11,1.7,5.9
AR005,2804459,27512609,Brockwell,85,Ap,0,15,0.1,1.7,5.3
AR005,2804460,27512610,Captina,90,Ap,0,13,0.23,4.5,4.7
AR005,2804460,27512611,Nixa,5,Oi,0,2,0.01,69.0,4.3
AR005,2804460,27512612,Needleye,5,A,0,18,0.22,1.25,5.9
AR005,2804461,27512613,Captina,85,Ap,0,13,0.23,4.5,4.7
AR005,2804461,27512614,Nixa,10,Oi,0,2,0.01,69.0,4.3
AR005,2804461,27512615,Noark,5,Oi,0,2,0.01,69.0,4.3
AR005,2804462,27512616,Bendavis,3,A,0,20,0.15,2.0,5.0
AR005,2804462,27512617,Arkana,4,Oi,0,2,0.01,69.0,4.3
AR005,2804462,27512618,Noark,4,A,0,5,0.11,2.0,5.3
AR005,2804462,27512619,Clarksville,85,Oi,0,2,0.01,69.0,4.3
AR005,2804462,27512620,Moko,4,A1,0,8,0.11,3.0,7.2
AR005,2804463,27512621,Nixa,5,A,0,8,0.07,1.25,5.3
AR005,2804463,27512622,Ventris,5,A,0,13,0.07,2.0,6.3
AR005,2804463,27512623,Doniphan,90,A,0,23,0.09,1.25,5.3
AR005,2804464,27512624,Doniphan,90,A,0,23,0.09,1.25,5.3
AR005,2804464,27512625,Nixa,5,A,0,8,0.07,1.25,5.3
AR005,2804464,27512626,Ventris,5,A,0,13,0.07,2.0,6.3
AR005,2804465,27512627,Elsah,95,A,0,23,0.16,1.5,6.5
AR005,2804465,27512628,Aquents,5,C,0,200,0.08,0.25,7.0
AR005,2804466,27512629,Estate,36,A,0,8,0.1,1.75,5.9
AR005,2804466,27512630,Clarksville,4,Oi,0,2,0.01,69.0,4.3
AR005,2804466,27512631,Portia,30,Ap,0,10,0.13,1.75,6.3
AR005,2804466,27512632,Moko,24,A1,0,5,0.07,3.0,7.6
AR005,2804466,27512633,Noark,5,Oi,0,2,0.01,69.0,4.3
AR005,2804467,27512636,Noark,8,Oi,0,2,0.07,69.0,4.3
AR005,2804467,27512637,Clarksville,7,Oi,0,2,0.01,69.0,4.3
AR005,2804467,27512638,Estate,40,A,0,8,0.11,1.7,6.2
AR005,2804467,27512639,Moko,22,A1,0,13,0.04,5.0,7.2
AR005,2804467,27512640,Portia,23,A,0,10,0.14,1.7,5.9
AR005,2804468,27512641,Gassville,85,Oi,0,2,0.01,69.0,4.3
AR005,2804468,27512642,Doniphan,3,Oi,0,2,0.01,69.0,4.3
AR005,2804468,27512643,Moko,3,Oi,0,2,0.01,69.0,4.3
AR005,2804468,27512644,Agnos,3,Oi,0,2,0.01,69.0,4.3
AR005,2804468,27512645,Arkana,2,Oi,0,2,0.01,69.0,4.3
AR005,2804468,27512646,Elsah,2,A,0,25,0.21,1.5,6.5
AR005,2804468,27512647,Razort,2,Oi,0,2,0.01,69.0,4.3
AR005,2804470,27512651,Healing,95,Ap,0,30,0.2,3.0,6.1
AR005,2804470,27512652,Razort,5,A,0,30,0.1,2.0,6.7
AR005,2804471,27512653,Arkana,5,Oi,0,2,0.01,69.0,4.3
AR005,2804471,27512654,Moko,60,A1,0,13,0.09,5.0,7.2
AR005,2804472,27512656,Moko,80,A1,0,18,0.11,3.0,7.2
AR005,2804473,27512658,Mountainburg,100,A,0,8,0.08,1.75,5.3
AR005,2804474,27512659,Mountainburg,100,A,0,5,0.08,2.0,5.3
AR005,2804475,27512660,Mountainburg,100,A,0,5,0.08,2.0,5.3
AR005,2804476,27512661,Bendavis,10,Oi,0,2,0.01,69.0,4.3
AR005,2804476,27512662,Nixa,90,Oi,0,2,0.01,69.0,4.3
AR005,2804477,27512663,Nixa,85,Oi,0,2,0.01,69.0,4.3
AR005,2804477,27512664,Noark,5,Oi,0,2,0.01,69.0,4.3
AR005,2804477,27512665,Bendavis,5,Oi,0,2,0.01,69.0,4.3
AR005,2804477,27512666,Clarksville,5,Oi,0,2,0.01,69.0,4.3
