areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
CA651,463307,26430823,Ahwahnee,36,H1,0,20,0.11,1.5,6.1
CA651,463307,26430824,Auberry,34,H1,0,30,0.12,2.0,6.2
CA651,463308,26430828,Ahwahnee,36,H1,0,20,0.11,1.5,6.1
CA651,463308,26430829,Auberry,34,H1,0,30,0.12,2.0,6.2
CA651,463309,26430833,Ahwahnee,36,H1,0,20,0.11,1.5,6.1
CA651,463309,26430834,Auberry,34,H1,0,30,0.12,2.0,6.2
CA651,463310,26430835,Ahwahnee,36,H1,0,20,0.11,1.5,6.1
CA651,463310,26430836,Auberry,34,H1,0,30,0.12,2.0,6.2
CA651,463311,26430843,Ahwahnee,36,H1,0,20,0.11,1.5,6.1
CA651,463311,26430844,Auberry,34,H1,0,30,0.12,2.0,6.2
CA651,463312,26430845,Ahwahnee,26,H1,0,20,0.11,1.5,6.1
CA651,463312,26430846,Auberry,24,H1,0,30,0.12,2.0,6.2
CA651,463313,26430854,Ahwahnee,26,H1,0,20,0.11,1.5,6.1
CA651,463313,26430855,Auberry,24,H1,0,30,0.12,2.0,6.2
CA651,463314,26430857,Ahwahnee,36,H1,0,20,0.11,1.5,6.1
CA651,463314,26430858,Vista,34,H1,0,30,0.1,0.75,6.5
CA651,463315,26430865,Ahwahnee,36,H1,0,20,0.11,1.5,6.1
CA651,463315,26430866,Vista,34,H1,0,30,0.1,0.75,6.5
CA651,463316,26430867,Ahwahnee,36,H1,0,20,0.11,1.5,6.1
CA651,463316,26430868,Vista,34,H1,0,30,0.1,0.75,6.5
CA651,463317,26430875,Ahwahnee,36,H1,0,20,0.11,1.5,6.1
CA651,463317,26430876,Vista,34,H1,0,30,0.1,0.75,6.5
CA651,463318,26430877,Ahwahnee,36,H1,0,20,0.11,1.5,6.1
CA651,463318,26430878,Vista,34,H1,0,30,0.1,0.75,6.5
CA651,463319,26430885,Ahwahnee,36,H1,0,20,0.11,1.5,6.1
CA651,463319,26430886,Vista,34,H1,0,30,0.1,0.75,6.5
CA651,463320,26430887,Ahwahnee,26,H1,0,20,0.11,1.5,6.1
CA651,463320,26430888,Vista,24,H1,0,30,0.1,0.75,6.5
CA651,463321,26430896,Ahwahnee,26,H1,0,20,0.11,1.5,6.1
CA651,463321,26430897,Vista,24,H1,0,30,0.1,0.75,6.5
CA651,463322,26430899,Alamo,85,H1,0,30,0.15,2.5,7.0
CA651,3295853,26431812,Delhi,5,Ap,0,30,0.11,0.75,6.8
CA651,3295853,26431813,Rocklin,4,Ap,0,20,0.14,0.75,6.1
CA651,3295853,26431814,Atwater,85,Ap,0,61,0.15,0.75,6.7
CA651,3295853,26431815,Whitney,2,Ap,0,38,0.09,0.75,6.7
CA651,3295853,26431816,San Joaquin,4,Ap,0,23,0.09,0.75,6.1
CA651,463324,26430903,Atwater,85,Ap,0,61,0.08,0.75,6.7
CA651,463325,26430911,Atwater,85,H1,0,61,0.08,0.75,6.7
CA651,463326,26430913,Atwater,85,H1,0,61,0.08,0.75,6.7
CA651,463327,26430921,Bear Creek,85,H1,0,51,0.15,1.5,6.7
CA651,463328,26430923,Borden,85,H1,0,43,0.12,0.75,7.0
