areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
CO676,2927469,26499833,Barx,5,A,0,14,0.17,0.75,8.0
CO676,2927469,26499834,Lazear,65,A,0,8,0.16,1.0,7.6
CO676,2927469,26499835,Cameo,30,A,0,18,0.14,1.0,8.0
CO676,510574,26499752,Arabrab family,50,A,0,15,0.13,2.0,7.2
CO676,510574,26499753,Dalhart family,40,H1,0,10,0.13,2.5,7.2
CO676,510575,26499755,Belain family,50,H1,0,13,0.14,3.0,7.0
CO676,510575,26499756,Falcon family,35,Oe,0,5,0.3,85.0,5.6
CO676,510576,26499758,Borolls,45,H1,0,25,0.14,1.5,7.2
CO676,510576,26499759,Boralfs,25,H1,0,23,0.14,0.75,6.5
CO676,510577,26499762,Chilson family,35,Oe,0,3,0.3,85.0,5.6
CO676,510577,26499763,Delson family,30,H1,0,18,0.16,4.5,6.7
CO676,510577,26499764,Beenom family,25,H1,0,5,0.13,2.0,7.2
CO676,510579,26499766,Delson family,35,H1,0,28,0.14,4.5,6.7
CO676,510579,26499767,Kubler family,25,H1,0,18,0.17,3.5,7.2
CO676,510579,26499768,Showalter family,25,H1,0,28,0.16,2.5,7.0
CO676,510580,26499770,Delson family,55,H1,0,18,0.16,4.5,6.7
CO676,510580,26499771,Sharrot family,30,H1,0,10,0.11,3.0,6.5
CO676,510581,26499773,Dough family,55,H1,0,8,0.13,0.75,7.2
CO676,510582,26499776,Durango family,60,H1,0,10,0.11,2.0,7.0
CO676,510582,26499777,Arabrab family,30,H1,0,15,0.13,2.0,7.2
CO676,510583,26499779,Falcon family,35,Oe,0,5,0.3,85.0,5.6
CO676,510583,26499780,Dough family,30,H1,0,8,0.13,0.75,7.2
CO676,510584,26499783,Gralic family,60,Oi,0,5,0.3,85.0,5.6
CO676,510584,26499784,Grenadier family,30,Oi,0,3,0.3,85.0,5.6
CO676,510585,26499786,Hapgood family,45,H1,0,20,0.14,3.5,6.1
CO676,510585,26499787,Lamphier family,40,H1,0,89,0.18,3.5,7.0
