areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
GA602,125154,26515050,Ailey,100,A,0,15,0.04,0.75,5.5
GA602,125155,26515051,Albany,95,H1,0,122,0.03,1.5,5.1
GA602,125155,26515052,Pelham,5,H1,0,84,0.06,1.5,5.0
GA602,125156,26515053,Bayboro,100,H1,0,36,0.18,7.0,4.6
GA602,125157,26515054,Blanton,100,H1,0,165,0.05,0.75,5.3
GA602,125158,26515055,Blanton,100,H1,0,122,0.03,0.75,5.3
GA602,125159,26515056,Bonifay,100,H1,0,127,0.06,2.0,5.5
GA602,125160,26515057,Cainhoy,100,H1,0,183,0.07,0.75,5.5
GA602,125161,26515058,Carnegie,100,H1,0,18,0.08,1.5,5.3
GA602,125162,26515059,Cowarts,40,H1,0,18,0.08,1.25,5.0
GA602,125162,26515060,Carnegie,60,H1,0,18,0.08,1.5,5.3
GA602,125163,26515028,Chastain,55,H1,0,13,0.14,3.5,5.3
GA602,125163,26515029,Tawcaw,45,H1,0,13,0.15,3.0,5.5
GA602,125164,26515030,Clarendon,95,H1,0,23,0.1,1.75,5.5
GA602,125164,26515031,Pelham,5,H1,0,84,0.06,1.5,5.0
GA602,125165,26515032,Clarendon,100,H1,0,23,0.1,1.75,5.5
GA602,125166,26515033,Cowarts,60,H1,0,18,0.08,1.25,5.0
GA602,125166,26515034,Sunsweet,40,H1,0,13,0.11,0.75,5.0
GA602,125167,26515085,Dasher,97,Oe,0,200,0.38,69.5,4.0
GA602,125167,26515086,Mascotte,3,A,0,8,0.14,14.0,4.7
GA602,125168,26515035,Dothan,100,H1,0,20,0.08,1.0,5.3
GA602,125169,26515036,Dothan,100,H1,0,20,0.08,1.0,5.3
GA602,125170,26515037,Esto,100,H1,0,20,0.08,0.75,4.6
GA602,125171,26515061,Esto,100,H1,0,20,0.08,0.75,4.6
GA602,125172,26515063,Esto,60,H1,0,20,0.08,0.75,4.6
GA602,125173,26515064,Fuquay,100,H1,0,81,0.07,1.0,5.3
GA602,125175,26515065,Kershaw,100,H1,0,229,0.04,0.75,5.3
GA602,125174,26515087,Johnston,40,A,0,64,0.23,12.0,5.0
GA602,125174,26515088,Kinston,60,A,0,30,0.16,3.5,5.3
GA602,125176,26515066,Leefield,95,H1,0,66,0.06,1.5,5.3
GA602,125176,26515067,Pelham,5,H1,0,84,0.06,1.5,5.0
GA602,125177,26515068,Leefield,55,H1,0,66,0.06,1.5,5.3
GA602,125178,26515070,Osier,55,H1,0,25,0.13,3.5,4.8
GA602,125178,26515071,Bibb,45,H1,0,20,0.18,2.0,4.6
GA602,125179,26515072,Osier,2,H1,0,25,0.13,3.5,4.8
GA602,125179,26515073,Bibb,3,H1,0,20,0.18,2.0,4.6
GA602,125179,26515074,Ousley,95,H1,0,76,0.08,0.25,5.3
GA602,125180,26515082,Pelham,96,A,0,15,0.14,5.0,4.7
GA602,125180,26515083,Yonges,1,A,0,8,0.12,3.0,6.5
GA602,125180,26515084,Bayboro,1,A,0,36,0.18,7.0,4.6
GA602,125181,26515075,Pelham,100,H1,0,84,0.07,1.5,5.0
GA602,125182,26515076,Pelham,5,H1,0,84,0.06,1.5,5.0
GA602,125182,26515077,Rigdon,95,H1,0,18,0.08,3.0,5.3
GA602,125183,26515078,Sapelo,95,H1,0,28,0.05,2.0,4.6
GA602,125183,26515079,Pelham,5,H1,0,84,0.06,1.5,5.0
GA602,125184,26515080,Stilson,100,H1,0,61,0.08,0.75,5.0
GA602,125185,26515038,Surrency,100,H1,0,91,0.08,5.5,4.6
GA602,125186,26515039,Tifton,100,H1,0,23,0.06,0.75,5.3
GA602,125187,26515040,Tifton,100,H1,0,23,0.06,0.75,5.3
GA602,125188,26515041,Tifton,55,H1,0,23,0.06,0.75,5.3
GA602,125189,26515043,Troup,65,H1,0,152,0.08,0.75,5.3
GA602,125189,26515044,Ailey,35,A,0,15,0.04,0.75,5.5
GA602,125190,26515045,Bibb,2,H1,0,20,0.18,2.0,4.6
GA602,125190,26515046,Osier,3,H1,0,25,0.13,3.5,4.8
GA602,125190,26515047,Wahee,95,H1,0,25,0.13,2.75,5.3
GA602,125191,26515048,Wicksburg,100,H1,0,61,0.08,0.75,5.3
GA602,125192,26515049,Wicksburg,100,H1,0,61,0.08,0.75,5.3
GA606,125301,27344397,Altavista,96,Ap,0,20,0.12,1.75,5.0
GA606,125302,27344384,Appling,100,Ap,0,20,0.13,1.25,5.5
GA606,125303,27344385,Appling,100,Ap,0,20,0.13,1.25,5.5
GA606,125304,27344386,Appling,100,A,0,15,0.13,1.25,5.5
GA606,125305,27344358,Augusta,100,H1,0,23,0.19,1.25,5.3
GA606,125306,27344359,Cartecay,55,H1,0,23,0.14,2.5,5.8
GA606,125306,27344360,Wehadkee,5,H1,0,20,0.13,3.5,5.5
GA606,125306,27344361,Chewacla,40,H1,0,20,0.2,2.5,5.5
GA606,125307,27344393,Cecil,100,Ap,0,20,0.13,0.75,5.5
GA606,125308,27344394,Cecil,100,Ap,0,20,0.13,0.75,5.5
GA606,125309,27344362,Cecil,100,H1,0,18,0.14,0.75,5.5
GA606,125310,27344363,Chestatee,100,H1,0,23,0.09,1.25,5.0
GA606,125311,27344364,Chewacla,100,H1,0,20,0.2,2.5,5.5
GA606,125312,27344365,Chewacla,70,H1,0,20,0.2,2.5,5.5
GA606,125312,27344366,Wehadkee,30,H1,0,20,0.13,3.5,5.5
GA606,125313,27344367,Gwinnett,100,H1,0,20,0.14,2.0,5.8
GA606,125314,27344368,Gwinnett,100,H1,0,20,0.14,2.0,5.8
GA606,125315,27344369,Hiwassee,100,H1,0,18,0.14,1.25,5.5
GA606,125316,27344370,Hiwassee,100,H1,0,18,0.14,1.25,5.5
GA606,125317,27344371,Hiwassee,100,H1,0,18,0.14,1.25,5.5
GA606,125318,27344372,Hiwassee,100,H1,0,18,0.14,1.25,5.5
GA606,125319,27344395,Rion,50,A,0,10,0.13,1.25,5.5
GA606,125319,27344396,Wateree,35,A,0,18,0.13,1.25,5.3
GA606,125320,27344391,Madison,99,A,0,15,0.13,1.25,5.5
GA606,125321,27344392,Madison,99,A,0,15,0.13,1.25,5.5
GA606,125322,27344389,Madison,97,A,0,13,0.13,1.25,5.5
GA606,125323,27344390,Madison,97,A,0,15,0.13,1.25,5.5
GA606,125324,27344388,Madison,97,Ap,0,13,0.08,1.25,5.5
GA307,2455405,26513215,Benevolence,85,Ap,0,30,0.1,1.0,5.6
GA307,2455406,26513194,Benevolence,85,Ap,0,30,0.1,1.0,5.3
GA307,2455407,26513241,Bonneau,90,Ap,0,33,0.08,1.25,5.8
GA307,2455408,26513195,Bonneau,85,Ap,0,15,0.08,1.0,5.3
GA307,2455409,26513240,Cowarts,41,Ap,0,18,0.08,1.25,5.3
GA307,2455409,26513239,Nankin,39,Ap,0,18,0.08,1.25,5.3
GA307,2455410,26513231,Faceville,85,Ap,0,18,0.11,1.25,5.3
GA307,2455411,26513232,Faceville,75,Ap,0,18,0.11,1.25,5.3
GA307,2455412,26513233,Faceville,75,Ap,0,10,0.11,1.25,5.3
GA307,2455413,26513238,Grady,2,Ap,0,15,0.13,2.5,4.6
GA307,2455413,26513237,Goldsboro,85,Ap,0,20,0.09,1.5,5.6
GA307,2455414,26513235,Rains,6,A,0,10,0.18,3.0,5.0
GA307,2455414,26513234,Grady,85,Ap,0,13,0.13,2.5,4.6
GA307,2455415,26513236,Greenville,90,Ap,0,20,0.15,1.5,5.3
GA307,2455416,26513196,Greenville,85,Ap,0,20,0.15,2.0,5.3
GA307,2455417,26513197,Greenville,85,Ap,0,20,0.15,2.0,5.3
GA307,2455418,26513198,Greenville,85,Ap,0,20,0.16,0.25,5.3
GA307,2455419,26513248,Chastain,2,A,0,18,0.15,3.5,5.3
GA307,2455419,26513247,Osier,5,A1,0,8,0.11,3.5,4.8
GA307,2455419,26513246,Kinston,45,A,0,20,0.18,3.0,5.5
GA307,2455419,26513245,Bibb,35,A,0,8,0.17,2.0,5.2
GA307,2455419,26513244,Pelham,8,Ap,0,15,0.07,1.5,4.6
GA307,2455420,26513218,Lucy,85,Ap,0,20,0.08,0.75,5.3
GA307,2455421,26513219,Lucy,85,Ap,0,20,0.1,0.75,5.3
GA307,2455422,26513227,Lucy,85,Ap,0,20,0.1,0.75,5.3
GA307,2455423,26513200,Cowarts,25,Ap,0,18,0.08,1.25,5.3
GA307,2455423,26513199,Nankin,60,Ap,0,10,0.08,1.25,5.3
GA307,2455424,26513243,Cowarts,40,Ap,0,18,0.1,1.25,5.3
GA307,2455424,26513242,Nankin,50,Ap,0,10,0.08,1.25,5.3
GA307,2455425,26513217,Norfolk,85,Ap,0,15,0.09,1.25,5.3
GA307,2455426,26513220,Norfolk,85,Ap,0,15,0.09,1.25,5.3
GA307,2455427,26513203,Ochlockonee,50,A,0,10,0.09,1.25,5.5
GA307,2455427,26513202,Bibb,20,A,0,13,0.15,2.0,5.3
GA307,2455427,26513201,Iuka,30,A,0,8,0.08,1.25,5.6
GA307,2455428,26513230,Kinston,1,A,0,13,0.18,2.0,5.0
GA307,2455428,26513229,Pelham,6,Ap,0,15,0.07,1.5,4.6
GA307,2455428,26513228,Ocilla,80,A,0,10,0.1,1.9,5.5
GA307,2455429,26513221,Orangeburg,80,Ap,0,18,0.09,1.25,5.5
GA307,2455430,26513222,Orangeburg,80,Ap,0,18,0.09,1.25,5.5
GA307,2455431,26513225,Orangeburg,80,Ap,0,13,0.13,1.25,5.5
GA307,2455432,26513249,Orangeburg,80,Ap,0,13,0.09,1.25,5.5
GA307,2455433,26513206,Bibb,2,A,0,13,0.15,2.0,5.0
