areasymbol,awc_r_wmean,om_r_wmean,ph1to1h2o_r_wmean,n_records
IA001,0.20508974358974358,3.2489871794871794,6.324589743589744,281.0
IA003,0.207171974522293,3.3424522292993633,6.3026592356687905,243.0
IA005,0.20225173682059666,2.5253371475275848,6.498512464241929,364.0
IA007,0.19562640207075066,2.637847282139776,6.139240724762727,288.0
IA009,0.20850587172538393,3.0480307136404696,6.199638663053297,190.0
IA011,0.18107632232871848,2.979865104721335,6.333418530351437,334.0
IA013,0.16955249903138317,3.402227818674932,6.3782254939945755,291.0
IA015,0.18681699346405228,4.675163398692811,6.773180827886711,254.0
IA017,0.17109882964889472,3.180006501950585,6.377945383615084,165.0
IA019,0.16568145454545455,2.997330909090909,6.383650909090909,154.0
IA021,0.19932,5.6925384615384615,6.677753846153847,191.0
IA023,0.17983162055335966,3.477798418972332,6.431486166007906,301.0
IA025,0.19608179959100208,5.530163599182005,6.816421267893661,138.0
IA027,0.1975226480836237,3.771639953542393,6.533763066202091,291.0
IA029,0.20126920750151242,3.187362371445856,6.223315184513007,330.0
IA031,0.18689147909967846,2.934811093247588,6.287684887459807,333.0
IA033,0.19197023593466425,4.8849038112522685,6.724428312159709,375.0
IA035,0.20004647887323943,3.6454225352112672,6.629394366197182,155.0
IA037,0.16938110403397028,3.2245276008492567,6.344118895966029,211.0
IA039,0.19679895561357702,2.9944560487380327,6.245039164490861,363.0
IA041,0.191314447592068,5.223093484419264,6.651059490084985,289.0
IA043,0.19949603803486532,2.6160578446909666,6.4836529318542,325.0
IA045,0.19316950082281953,2.977734503565552,6.332320351069665,443.0
IA047,0.21686746987951805,2.8416179001721167,6.419059093516925,291.0
IA049,0.1913899613899614,3.6611647361647366,6.582844272844272,215.0
IA051,0.19692187500000002,2.451328125,6.157720588235295,329.0
IA053,0.1948246492985972,2.714228456913828,6.1938577154308625,295.0
IA055,0.1872587610619469,2.7749592920353985,6.350576991150442,344.0
IA057,0.1901609101158143,2.7279696628061902,6.3311263708107,215.0
IA059,0.19336863783465724,5.610253015592821,6.755104442483082,238.0
IA061,0.19988750536711036,2.5780420781451268,6.4259682267067415,313.0
IA063,0.19154492753623187,6.472391304347827,6.851521739130435,197.0
IA065,0.18662932454695222,2.8329522240527183,6.434497528830313,401.0
IA067,0.18433170731707318,3.501759581881533,6.622940766550522,320.0
IA069,0.1945250278086763,4.970578420467186,6.678190582128291,317.0
IA071,0.2030646718146718,2.957374517374517,6.81192084942085,259.0
IA073,0.1937521739130435,4.434673913043478,6.7870108695652185,277.0
IA075,0.18661031518624643,3.8645773638968484,6.374154727793696,175.0
IA077,0.19596467040068932,3.2686126669538993,6.3686083584661795,347.0
IA079,0.1925628847845207,6.085839929639403,6.8202286719437115,160.0
IA081,0.19771444631815627,7.257335581787521,6.806486790331647,261.0
IA083,0.1894491746307559,4.518505647263249,6.608679409209383,304.0
IA085,0.20000261096605745,2.684308093994778,7.111723237597912,236.0
IA087,0.19998053163609136,2.775335080494197,6.223451890677648,383.0
IA089,0.18655951869359694,3.2289686291362267,6.356733992264719,248.0
IA091,0.19092407407407408,5.519240740740741,6.707222222222223,189.0
IA093,0.21168271604938274,3.155543209876543,6.330086419753086,222.0
IA095,0.1893227944926058,2.4551249362570116,6.260520142784294,544.0
IA097,0.2062952831583617,2.5231775839124646,6.453045985509389,347.0
IA099,0.18572859327217126,2.963895259938838,6.350237003058104,335.0
IA101,0.19524754098360658,2.5568688524590164,6.183803278688525,338.0
IA103,0.18329095509171411,2.872223276407337,6.287843137254901,397.0
IA105,0.18740462601381797,2.8849894863322323,6.411715229798738,412.0
IA107,0.18467483140841795,2.741167351368111,6.252127742035501,341.0
IA109,0.19264657534246574,5.607739726027397,6.822863013698631,213.0
IA111,0.2,2.63171344784248,6.242396313364056,300.0
IA113,0.18412551642730673,2.9106925044265197,6.358361204013379,478.0
IA115,0.18479241559173892,2.75405653062663,6.327715514203144,328.0
IA117,0.19263587749149247,2.6991716091395235,6.168614487117161,316.0
