areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
IL085,1949627,26950088,Dubuque,97.0,Ap,0,13,0.21,2.5,6.2
IL085,1949627,26950089,Palsgrove,1.0,Ap,0,25,0.23,1.5,6.5
IL085,1949627,26950090,Fayette,1.0,Ap,0,33,0.21,2.5,6.2
IL085,1949627,26950091,Newglarus,1.0,Ap,0,18,0.23,2.0,6.7
IL085,1949629,26950092,Fayette,1.0,Ap,0,33,0.21,2.5,6.2
IL085,1949629,26950093,Dubuque,97.0,Ap,0,13,0.21,2.5,6.2
IL085,1949629,26950094,Newglarus,1.0,Ap,0,18,0.23,2.0,6.7
IL085,1949629,26950095,Palsgrove,1.0,Ap,0,25,0.23,1.5,6.5
IL085,2383919,26950100,Osco,2.0,Ap,0,36,0.23,3.5,6.0
IL085,2383919,26950101,Drummer,1.0,Ap,0,36,0.18,5.5,6.7
IL085,2383919,26950102,Muscatune,90.0,Ap,0,44,0.23,4.5,6.2
IL085,2383919,26950104,Sable,5.0,Ap,0,58,0.19,4.5,6.0
IL085,2383919,26950105,Denny,1.0,Ap,0,23,0.23,2.5,6.2
IL085,1949621,26950254,Muscatune,95.0,Ap,0,43,0.23,4.5,6.2
IL085,1949621,26950255,Osco,3.0,Ap,0,36,0.23,3.5,6.0
IL085,1949621,26950256,Sable,2.0,Ap,0,58,0.19,4.5,6.0
IL085,1949532,26950072,Bloomfield,95.0,A,0,20,0.11,1.25,6.5
IL085,1949630,26950217,Atterberry,98.0,A,0,23,0.23,2.5,7.0
IL085,1949630,26950218,Sable,2.0,A,0,43,0.22,5.5,6.5
IL085,1949622,26950309,Ipava,5.0,Ap,0,25,0.23,4.25,5.8
IL085,1949622,26950310,Sable,85.0,Ap,0,58,0.19,4.5,6.0
IL085,1949619,26950273,Denny,1.0,Ap,0,23,0.23,2.5,6.2
IL085,1949619,26950274,Ipava,3.0,Ap,0,25,0.23,4.25,5.8
IL085,1949619,26950275,Osco,90.0,Ap,0,36,0.23,3.5,6.0
IL085,1949619,26950276,Sable,3.0,Ap,0,58,0.19,4.5,6.0
IL085,1949619,26950277,Muscatune,3.0,Ap,0,44,0.23,4.5,6.2
IL085,1949620,26950278,Muscatune,3.0,Ap,0,44,0.23,4.5,6.2
IL085,1949620,26950280,Ipava,3.0,Ap,0,25,0.23,4.25,5.8
IL085,1949620,26950281,Osco,90.0,Ap,0,36,0.23,3.5,6.4
IL085,1949620,26950282,Sable,2.0,Ap,0,58,0.19,4.5,6.0
IL085,1949623,26950036,Dickinson,90.0,H1,0,20,0.14,1.5,6.5
IL085,1949623,26950037,Gilford,3.0,A,0,46,0.18,3.0,6.5
IL085,1949623,26950039,Selma,3.0,A,0,58,0.22,4.0,7.0
IL085,1949624,26950083,Orio,3.0,A,0,23,0.22,1.5,6.2
IL085,1949624,26950084,Sparta,91.0,H1,0,43,0.11,1.5,6.2
IL085,1949624,26950086,Selma,3.0,H1,0,15,0.22,5.0,7.1
