areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
KS209,1862210,26441695,Aquolls,1,A,0,30,0.21,3.0,6.5
KS209,1862210,26441696,Kimo,7,Ap,0,18,0.18,2.5,7.3
KS209,1862210,26441697,Bourbonais,4,Ap,0,17,0.22,1.5,7.3
KS209,1862210,26441698,Eudora,10,Ap,0,18,0.21,2.0,6.9
KS209,1862210,26441699,Bismarckgrove,70,Ap,0,18,0.12,2.0,6.6
KS209,1862210,26441700,Belvue,8,Ap,0,15,0.22,1.0,7.5
KS209,1862211,26441701,Kimo,5,Ap,0,18,0.18,2.5,7.3
KS209,1862211,26441702,Stonehouse,4,Ap,0,16,0.07,1.5,7.3
KS209,1862211,26441703,Eudora,55,Ap,0,18,0.21,2.0,6.9
KS209,1862211,26441704,Aquolls,1,A,0,30,0.21,3.0,6.5
KS209,1862211,26441705,Bourbonais,10,Ap,0,17,0.22,1.5,7.3
KS209,1862211,26441706,Bismarckgrove,25,Ap,0,18,0.12,2.0,6.6
KS209,1862212,26441707,Bismarckgrove,25,Ap,0,18,0.12,2.0,6.6
KS209,1862212,26441708,Bourbonais,15,Ap,0,17,0.22,1.5,7.3
KS209,1862212,26441709,Kimo,5,Ap,0,18,0.18,2.5,7.3
KS209,1862212,26441710,Eudora,50,Ap,0,18,0.21,2.0,6.9
KS209,1862212,26441711,Stonehouse,4,Ap,0,16,0.07,1.5,7.3
KS209,1862212,26441712,Aquolls,1,A,0,30,0.21,3.0,6.5
KS209,2559457,26441612,Kennebec,85,Ap,0,20,0.25,3.0,6.2
KS209,2559457,26441613,Colo,2,Ap,0,20,0.23,3.0,6.5
KS209,2559457,26441614,Wabash,3,Ap,0,15,0.13,3.0,6.6
KS209,2559457,26441615,Muscotah,5,Ap,0,15,0.15,3.0,6.9
KS209,2559457,26441616,Reading,3,Ap,0,15,0.23,3.0,6.6
KS209,2559457,26441617,Olmitz,2,Ap,0,15,0.18,2.0,6.6
KS209,1862214,26441713,Muscotah,3,Ap,0,23,0.22,2.5,6.7
KS209,1862214,26441714,Zook,1,A,0,51,0.22,6.0,6.5
KS209,1862214,26441716,Kennebec,85,A1,0,20,0.23,5.5,6.5
KS209,1862214,26441718,Kenridge,3,Ap,0,20,0.22,3.0,6.1
KS209,1862214,26441719,Nodaway,6,Ap,0,18,0.22,2.5,6.7
KS209,1862216,26441674,Aquolls,1,Ap,0,30,0.21,3.0,6.5
KS209,1862216,26441675,Eudora,5,Ap,0,30,0.22,1.5,7.0
KS209,1862216,26441676,Kiro,4,A1,0,20,0.12,4.0,6.5
KS209,1862216,26441677,Bismarckgrove,5,Ap,0,18,0.12,2.0,6.6
KS209,1862216,26441678,Kimo,85,Ap,0,18,0.18,3.0,7.3
KS209,1862218,26441720,Unnamed,9,Ap,0,18,0.22,1.5,7.3
KS209,1862218,26441721,Sarpy,55,Ap,0,23,0.07,0.5,7.5
KS209,1862218,26441723,Haynie,35,Ap,0,18,0.21,1.2,7.5
KS209,1862220,26441618,Kimo,10,Ap,0,18,0.18,3.0,7.3
KS209,1862220,26441619,Bismarckgrove,5,Ap,0,15,0.22,2.5,7.0
KS209,1862220,26441620,Eudora,30,Ap,0,18,0.12,1.2,6.6
KS209,1862220,26441621,Stonehouse,50,Ap,0,23,0.12,1.2,6.6
KS209,1862220,26441622,Bourbonais,4,Ap,0,18,0.22,1.5,7.3
KS209,1862223,26441679,Kiro,85,A1,0,20,0.12,4.0,6.5
KS209,1862223,26441680,Kimo,5,Ap,0,18,0.18,3.0,7.3
KS209,1862223,26441681,Bismarckgrove,5,Ap,0,18,0.22,2.5,7.3
