areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
KY025,550336,26819951,Grigsby,2,Ap,0,18,0.17,4.0,5.8
KY025,550336,26819952,Allegheny,90,Ap,0,20,0.19,2.5,5.4
KY025,550336,26819953,Udorthents,2,Ap,0,13,0.11,2.93,6.5
KY025,550336,26819954,Cotaco,6,Ap,0,15,0.19,2.55,5.7
KY025,550337,26819955,Grigsby,2,Ap,0,18,0.17,4.0,5.8
KY025,550337,26819956,Allegheny,85,Ap,0,20,0.19,2.5,5.4
KY025,550337,26819957,Cotaco,8,Ap,0,15,0.19,2.55,5.7
KY025,550337,26819958,Gilpin,5,Oi,0,3,0.1,69.0,4.3
KY025,550338,26819938,Allegheny,80,H1,0,15,0.17,2.5,5.5
KY025,550340,26819996,Matewan,30,Oi,0,3,0.01,69.7,4.3
KY025,550340,26819997,Marrowbone,25,Oi,0,3,0.01,69.7,4.3
KY025,550340,26819998,Gilpin,10,Oi,0,3,0.1,69.0,4.8
KY025,550340,26819999,Shelocta,7,Oi,0,3,0.1,69.0,5.6
KY025,550340,26820000,Fedscreek,5,Oi,0,3,0.01,69.7,4.3
KY025,550340,26820001,Ramsey,3,Oi,0,3,0.01,69.7,4.3
KY025,550340,26820002,Latham,15,Oi,0,2,0.1,69.0,4.8
KY025,550341,26819941,Fairpoint,50,H1,0,13,0.14,0.25,6.5
KY025,550341,26819942,Bethesda,35,H1,0,10,0.13,0.25,5.5
KY025,550342,26819959,Shelocta,3,Oi,0,3,0.1,69.0,5.6
KY025,550342,26819960,Matewan,3,Oi,0,3,0.01,69.7,4.3
KY025,550342,26819961,Fairpoint,55,Ap,0,28,0.17,1.25,7.1
KY025,550342,26819962,Bethesda,30,Ap,0,30,0.17,3.2,5.7
KY025,550342,26819963,Udorthents,5,Ap,0,13,0.17,2.93,6.5
KY025,550346,26820003,Shelocta,40,H1,0,18,0.14,2.75,5.0
KY025,550346,26820004,Gilpin,25,H1,0,10,0.15,2.25,4.6
KY025,550346,26820005,Kimper,15,H1,0,23,0.17,6.0,5.9
KY025,2738279,26819902,Udorthents,5,Ap,0,13,0.17,2.93,6.5
KY025,2738279,26819903,Chagrin,50,Ap,0,18,0.21,3.0,5.4
KY025,2738279,26819904,Grigsby,30,Ap,0,15,0.15,2.5,5.8
KY025,2738279,26819905,Combs,5,Ap,0,20,0.16,3.92,5.3
KY025,2738279,26819906,Rowdy,5,Ap,0,18,0.16,1.88,5.9
KY025,2738279,26819907,Yeager,3,Ap,0,23,0.11,3.63,5.1
KY025,2738279,26819908,Allegheny,2,Ap,0,20,0.17,2.5,5.4
KY025,550339,26820012,Shelocta,25,Oi,0,3,0.05,69.0,5.6
KY025,550339,26820013,Kimper,20,Oi,0,5,0.03,69.7,6.2
KY025,550339,26820014,Fedscreek,10,Oi,0,3,0.05,69.7,4.3
KY025,550339,26820015,Handshoe,7,Oi,0,5,0.02,69.7,4.3
KY025,550339,26820016,Clifftop,6,Oi,0,3,0.02,69.0,4.8
KY025,550339,26820017,Marrowbone,2,Oi,0,3,0.02,69.7,4.3
KY025,550339,26820018,Cloverlick,30,Oi,0,5,0.01,69.7,4.9
KY025,2738276,26819897,Udorthents,5,ACp,0,18,0.17,2.93,6.5
KY025,2738276,26819898,Fairpoint,5,A,0,28,0.17,1.25,7.1
KY025,2738280,26819966,Udorthents,1,A,0,13,0.17,2.93,6.5
KY025,2738280,26819967,Grigsby,70,Ap,0,26,0.15,2.1,6.5
KY025,2738280,26819968,Yeager,9,Ap,0,23,0.11,3.63,5.1
KY025,2738280,26819969,Rowdy,7,Ap,0,18,0.16,1.88,5.9
KY025,2738280,26819970,Combs,3,Ap,0,20,0.16,3.92,5.3
KY025,2738280,26819971,Craigsville,8,Ap,0,21,0.12,3.5,5.3
KY025,2738280,26819972,Holly,2,A,0,10,0.18,1.76,5.1
KY025,3098717,26819980,Handshoe,30,Oi,0,5,0.16,69.7,4.3
KY025,3098717,26819981,Fedscreek,26,Oi,0,3,0.25,69.7,4.3
KY025,3098717,26819982,Shelocta,20,Oi,0,3,0.3,69.0,5.6
KY025,3098717,26819983,Marrowbone,11,Oi,0,3,0.32,69.7,4.3
KY025,3098717,26819984,Matewan,6,Oi,0,3,0.29,69.7,4.3
KY025,3098717,26819985,Clifftop,5,Oi,0,3,0.34,69.0,4.8
KY025,3098717,26819986,Blairton,2,Oi,0,2,0.36,69.0,4.8
KY025,3158447,26819988,Matewan,30,Oi,0,3,0.01,69.7,4.3
KY025,3158447,26819989,Gilpin,25,Oi,0,3,0.02,69.0,4.8
KY025,3158447,26819990,Marrowbone,15,Oi,0,3,0.02,69.7,4.3
KY025,3158447,26819991,Ramsey,7,Oi,0,3,0.02,69.0,4.3
KY025,3158447,26819992,Rayne,5,Oi,0,2,0.02,69.0,4.8
KY025,3158447,26819993,Fedscreek,4,Oi,0,3,0.05,69.7,4.3
KY025,3158447,26819994,Sequoia,10,Oi,0,3,0.02,69.0,5.6
KY025,2738281,26819909,Udorthents,1,Ap,0,13,0.17,2.93,6.5
KY025,2738281,26819910,Rowdy,45,Ap,0,18,0.16,1.88,5.9
KY025,2738281,26819911,Grigsby,35,Ap,0,15,0.15,2.5,5.8
KY025,2738281,26819912,Allegheny,5,Ap,0,20,0.17,2.5,5.4
KY025,2738281,26819913,Holly,5,Ap,0,10,0.22,1.76,5.1
KY025,2738281,26819914,Cotaco,4,Ap,0,15,0.16,2.55,5.7
KY025,2738281,26819915,Combs,3,Ap,0,20,0.16,3.92,5.3
KY025,2738281,26819916,Yeager,2,Ap,0,23,0.11,3.63,5.1
KY025,3098713,26819974,Shelocta,50,Oi,0,3,0.3,69.0,5.6
KY025,3098713,26819975,Highsplint,20,Oi,0,3,0.18,69.7,4.3
KY025,3098713,26819976,Gilpin,15,Oi,0,3,0.29,69.0,4.8
KY025,3098713,26819977,Marrowbone,6,Oi,0,3,0.32,69.7,4.3
KY025,3098713,26819978,Fedscreek,4,Oi,0,3,0.25,69.7,4.3
KY025,3098713,26819979,Ramsey,3,Oi,0,3,0.34,69.0,4.3
KY025,2738282,26819917,Udorthents,55,A/Cp,0,15,0.17,2.93,5.6
KY025,2738282,26819918,Shelocta,5,A,0,8,0.19,11.9,6.4
KY025,2738282,26819919,Cutshin,5,A,0,13,0.19,2.75,5.5
KY025,2738282,26819920,Gilpin,5,A,0,5,0.15,7.77,4.6
KY025,2738283,26819922,Udorthents,55,A/Cp,0,15,0.17,2.93,5.6
KY025,2738283,26819923,Shelocta,5,A,0,8,0.19,11.9,6.4
KY025,2738283,26819924,Gilpin,5,A,0,5,0.15,7.77,4.6
KY025,2738283,26819926,Cutshin,5,A,0,13,0.19,2.75,5.5
KY011,1727472,26813353,Allegheny,60,H1,0,25,0.17,2.5,6.5
KY011,1727472,26813354,Cotaco,30,H1,0,28,0.11,2.25,6.0
KY011,1727473,26813252,Allegheny,70,H1,0,25,0.17,2.5,6.5
KY011,1727473,26813253,Cotaco,20,H1,0,28,0.11,2.25,6.0
KY011,1727474,26813257,Allegheny,85,H1,0,13,0.17,2.5,6.5
