areasymbol,awc_r_wmean,om_r_wmean,ph1to1h2o_r_wmean,n_records
LA001,0.2014795180722891,2.669036144578313,5.711373493975903,30.0
LA003,0.18614634146341463,1.7665121951219511,4.980243902439024,33.0
LA005,0.18512761904761904,4.0728,6.271466666666667,65.0
LA007,0.17026288117770766,8.166403785488958,6.477181913774974,24.0
LA009,0.1802521173921607,1.861018317904274,6.284754776442781,97.0
LA011,0.15508079409048936,2.043109418282549,5.329085872576177,68.0
LA013,0.1382546494992847,1.718586075345732,5.374368144969003,52.0
LA015,0.15450444825971593,1.818621819884501,6.028718589043234,120.0
LA017,0.1578300890297269,1.686171721744379,5.948196770786177,158.0
LA019,0.1959631728045326,7.319953966005666,5.418732294617564,50.0
LA021,0.1770931085043988,2.14057917888563,5.431341642228739,43.0
LA023,0.22260330578512394,19.590348288075557,6.343034238488785,31.0
LA025,0.18156382079459,1.8677726120033817,5.620540997464074,91.0
LA027,0.12693993506493506,1.7262581168831168,5.3757711038961045,39.0
LA029,0.16758962011771,2.1699759229534514,6.2581326912787585,80.0
LA031,0.15211146161934805,1.5897181913774976,5.5612197686645635,100.0
LA033,0.1881417579855444,2.1357542550711126,5.622336208906505,99.0
LA035,0.1637894248608534,1.8143784786641932,6.259786641929499,53.0
LA037,0.18910996452757176,3.723427926475331,5.532086423734279,75.0
LA039,0.19730014641288432,1.9539677891654468,5.528931185944363,51.0
LA041,0.19696651875756355,1.8264824526018555,5.437878176684146,48.0
LA043,0.16914435550648638,1.8860943969086394,6.042616616064035,80.0
LA045,0.20872815172926742,6.5123131275567125,6.145072517664559,69.0
LA047,0.17182163187855784,4.713043643263757,6.534762808349146,63.0
LA049,0.13750871948181365,1.8588689586447433,5.231489785749876,27.0
LA051,0.2074579945799458,22.65121951219512,6.464119241192413,49.0
LA053,0.193208513992905,5.2953685455262125,5.396728419392984,40.0
LA055,0.19599132321041213,2.115297180043384,5.807548806941432,57.0
LA057,0.21835355285961872,21.956564124783363,6.410615251299825,58.0
LA059,0.1761534915879235,1.99149573634478,5.325190135976031,67.0
LA061,0.1252185792349727,1.6413934426229508,5.346174863387978,24.0
LA063,0.20774020618556704,6.631381443298968,5.4035463917525774,59.0
LA065,0.15612318840579714,1.8878053830227743,6.407194616977225,44.0
LA067,0.19423456790123456,1.8299382716049386,5.354197530864197,58.0
LA069,0.15629053390108089,1.765232558139535,5.8129217163445785,122.0
LA071,0.2220856610800745,20.74324953445065,6.402700186219739,33.0
LA073,0.17353106550463873,1.8874051166713524,5.289569862243463,52.0
LA075,0.2361447963800905,26.38794117647059,6.465882352941176,64.0
LA077,0.17575154730327144,2.126202475685234,6.5942086648983205,45.0
LA079,0.16720821661998134,1.741099906629318,5.766629318394023,99.0
LA081,0.17110275689223056,1.7592882205513782,6.075714285714286,101.0
LA083,0.19517561465127942,1.9269543401906675,5.537732062217762,68.0
LA085,0.1358214378406436,1.5449649623669872,5.418141707760187,63.0
LA087,0.21619804400977993,17.020171149144257,6.689792176039121,46.0
LA089,0.20355913381454746,19.32565241532482,6.465741254858411,46.0
LA091,0.18330259849119865,2.505343671416597,5.166848281642917,74.0
LA093,0.17060180541624878,6.29297893681043,6.787562688064193,31.0
LA095,0.21968576709796672,20.33119223659889,6.4154343807763405,32.0
LA097,0.1897731057452123,2.005185262281432,5.910179017485429,94.0
LA099,0.18691304347826088,3.395987577639752,6.109596273291926,88.0
LA101,0.22901697591788395,18.100868535333596,6.268732727990526,56.0
LA103,0.19452852614896984,10.933538034865293,5.46782884310618,78.0
LA105,0.18768266320795504,7.184176394293126,5.3262429744920015,73.0
LA107,0.15256762212353653,2.2677714977795724,6.124828421477593,57.0
LA109,0.24538631346578363,27.340949227373066,6.346313465783664,57.0
LA111,0.1507456240054558,1.677767674471471,5.148079108888383,53.0
LA113,0.21999716070414538,15.752541169789891,6.081771720613287,71.0
LA115,0.14338888888888887,1.6566111111111104,5.362311111111112,62.0
LA117,0.1705263157894737,4.262396694214875,5.1270117442366265,71.0
LA119,0.1392857142857143,1.7994227994227994,5.326515151515151,34.0
LA121,0.1707031778228533,2.5010141987829617,6.733806626098716,29.0
LA123,0.19641666666666666,1.7892708333333334,5.512708333333332,25.0
LA125,0.1849250288350634,3.6227566320645908,5.805507497116494,87.0
LA127,0.154644385026738,2.0063502673796796,5.721524064171122,55.0
