areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
LA001,376884,27276542,Acadiana,85,A,0,12,0.19,2.0,6.3
LA001,376919,27276528,Schriever,2,A1,0,10,0.15,2.25,6.8
LA001,376919,27276527,Fausse,8,Oa,0,17,0.19,8.5,6.5
LA001,376919,27276526,Barbary,90,A,0,35,0.19,13.5,6.5
LA001,376887,27276519,Basile,70,A,0,20,0.19,1.25,4.6
LA001,376887,27276516,Brule,20,A,0,25,0.2,2.0,4.3
LA001,376888,27276532,Crowley,85,Ap,0,18,0.18,1.66,5.1
LA001,376906,27276535,Crowley,85,Ap,0,13,0.18,1.66,5.1
LA001,376917,27276575,Midland,35,Ap,0,15,0.17,2.25,6.2
LA001,376917,27276573,Crowley,55,Ap,0,15,0.22,1.66,5.1
LA001,376926,27276498,Duson,85,Ap,0,15,0.22,2.25,5.5
LA001,376907,27276488,Frost,85,H1,0,56,0.22,2.25,5.5
LA001,376908,27276491,Frost,85,H1,0,38,0.22,2.25,5.5
LA001,376922,27276514,Iota,85,A,0,18,0.2,2.25,5.3
LA001,376909,27276492,Jeanerette,85,H1,0,18,0.22,2.25,6.7
LA001,376910,27276553,Judice,90,Ap,0,23,0.19,2.5,6.0
LA001,376911,27276567,Kaplan,85,Ap,0,25,0.15,2.5,6.5
LA001,376912,27276561,Kaplan,85,Ap,0,23,0.21,2.5,6.2
LA001,376920,27276525,Kinder,70,A,0,12,0.18,2.8,4.5
LA001,376920,27276523,Vidrine,20,A,0,13,0.18,2.8,4.5
LA001,376923,27276569,Mamou,85,Ap,0,18,0.21,2.25,5.0
LA001,376927,27276500,Memphis,85,H1,0,15,0.22,1.5,5.3
LA001,376913,27276550,Midland,85,Ap,0,18,0.19,2.25,6.2
LA001,376914,27276576,Midland,85,Ap,0,18,0.19,2.25,5.5
LA001,376915,27276545,Mowata,85,Ap,0,13,0.22,2.25,6.2
LA001,376918,27276511,Mowata,85,H1,0,43,0.22,2.25,6.2
LA001,376898,27276504,Patoutville,85,H1,0,28,0.22,2.25,6.2
LA001,376916,27276510,Patoutville,85,H1,0,15,0.22,2.25,6.2
LA001,376924,27276559,Crowley,25,Ap,0,23,0.18,1.66,5.5
LA001,376924,27276558,Patoutville,60,Ap,0,25,0.22,2.25,5.5
LA003,1586093,27037255,Acadia,90,A,0,15,0.18,1.0,4.8
LA003,1586094,27037235,Brule,20,A,0,25,0.2,2.0,4.3
LA003,1586094,27037238,Basile,70,A,0,20,0.19,1.25,4.6
LA003,1586095,27037306,Beauregard,90,A,0,20,0.21,2.25,5.8
LA003,1586096,27037308,Bienville,90,A,0,13,0.09,1.25,5.5
LA003,1586097,27037319,Messer,30,A,0,12,0.21,2.5,4.8
LA003,1586097,27037318,Caddo,60,A,0,13,0.21,1.6,4.8
LA003,1586098,27037229,Gore,90,H1,0,13,0.2,2.25,5.3
LA003,1586099,27037309,Cahaba,90,A,0,13,0.12,1.25,5.0
LA003,1586100,27037314,Guyton,26,H1,0,61,0.22,2.25,4.8
LA003,1586100,27037311,Cahaba,34,H1,0,41,0.12,1.25,5.3
LA003,1586100,27037316,Bienville,30,H1,0,112,0.09,1.25,5.5
LA003,1586436,27037254,Vidrine,35,A,0,15,0.18,2.8,4.5
LA003,1586436,27037252,Crowley,55,Ap,0,18,0.18,1.66,5.1
LA003,1586101,27037258,Vidrine,35,A,0,15,0.18,2.8,4.5
LA003,1586101,27037261,Crowley,55,Ap,0,18,0.18,1.66,5.1
LA003,1586102,27037290,Prairieland,80,Ap,0,22,0.24,1.2,5.2
LA003,1586103,27037282,Prairieland,80,Ap,0,20,0.24,1.2,5.2
LA003,1586105,27037276,Glenmora,90,A,0,15,0.22,1.25,5.3
LA003,1586106,27037226,Gore,95,H1,0,15,0.2,2.25,5.3
LA003,1586107,27037269,Guyton,85,A,0,13,0.22,2.25,4.6
LA003,1586108,27037227,Guyton,95,H1,0,66,0.22,1.25,4.8
LA003,1586109,27037265,Messer,35,A,0,18,0.21,2.5,4.8
LA003,1586109,27037268,Guyton,55,A,0,10,0.22,2.25,4.6
LA003,1586104,27037302,Ouachita,30,A,0,36,0.19,1.5,5.3
LA003,1586104,27037300,Guyton,60,A,0,16,0.22,2.25,3.6
LA003,1586110,27037247,Kinder,60,A,0,18,0.18,2.8,4.5
LA003,1586110,27037246,Gist,30,A,0,10,0.17,1.0,4.0
LA003,1586111,27037295,Malbis,90,A,0,13,0.13,0.75,5.3
LA003,1586112,27037278,Mamou,85,Ap,0,18,0.21,2.25,5.0
LA003,1586113,27037296,Ruston,90,A,0,10,0.13,1.75,5.5
LA003,1586114,27037244,Kinder,70,A,0,12,0.18,2.8,4.5
LA003,1586114,27037242,Vidrine,20,A,0,13,0.18,2.8,4.5
LA005,1014621,27272718,Acy,90,Ap,0,15,0.22,2.25,6.5
LA005,1014622,27272721,Schriever,5,Ag,0,10,0.15,2.25,6.8
LA005,1014622,27272722,Fausse,10,Oa,0,17,0.19,8.5,6.5
LA005,1014622,27272723,Barbary,85,Oa,0,25,0.35,50.0,5.7
LA005,1014623,27272724,Coteau,3,Ap,0,15,0.22,2.25,5.5
LA005,1014623,27272725,Calhoun,85,Ap,0,8,0.22,2.22,5.1
LA005,1014623,27272726,Frost,5,Ap,0,10,0.22,2.25,5.5
LA005,1014623,27272727,Bude,2,A,0,13,0.23,1.25,5.3
LA005,1014623,27272728,Toula,5,A,0,13,0.24,2.25,5.3
LA005,1014624,27272733,Commerce,77,Ap,0,17,0.22,0.95,7.3
LA005,1014625,27272734,Commerce,90,Ap,0,15,0.17,2.25,7.0
LA005,1014626,27272737,Convent,90,A,0,10,0.19,2.44,6.1
LA005,1014626,27272738,Commerce,5,Ap,0,17,0.17,0.95,7.3
LA005,1014626,27272739,Sharkey,5,Ap,0,13,0.17,2.25,5.3
LA005,1014627,27272740,Sharkey,5,Ap,0,13,0.19,2.25,5.3
LA005,1014627,27272741,Convent,85,A,0,10,0.19,2.44,6.1
LA005,1014627,27272742,Commerce,10,Ap,0,17,0.17,0.95,7.3
LA005,1014628,27272745,Deerford,51,A,0,11,0.22,2.25,5.5
LA005,1014628,27272747,Patoutville,35,Ap,0,25,0.22,2.25,6.2
LA005,1014629,27272748,Verdun,40,Ap,0,13,0.16,1.25,5.7
LA005,1014629,27272749,Deerford,50,Ap,0,11,0.18,2.25,4.1
LA005,1014629,27272750,Frost,10,Ap,0,10,0.18,2.25,5.5
LA005,1014630,27272751,Essen,90,Ap,0,18,0.22,1.25,6.2
LA005,1014631,27272756,Fausse,80,Oa,0,2,0.19,8.5,6.0
LA005,1014632,27272757,Fausse,56,A1,0,2,0.21,12.0,6.5
LA005,1014632,27272759,Galvez,30,Ap,0,15,0.21,2.25,5.8
LA005,1014633,27272763,Foley,50,Ap,0,13,0.19,1.25,5.9
LA005,1014633,27272764,Deerford,25,Ap,0,11,0.18,2.25,4.1
LA005,1014634,27272767,Frost,90,Ap,0,10,0.22,2.25,5.5
LA005,1014634,27272768,Coteau,5,Ap,0,15,0.22,2.25,5.5
LA005,1014634,27272769,Jeanerette,5,Ap,0,28,0.22,2.25,6.3
LA005,1014635,27272770,Galvez,95,Ap,0,15,0.21,2.25,5.8
LA005,1014636,27272772,Galvez,95,Ap,0,15,0.21,2.25,5.8
LA005,1014636,27272773,Patoutville,3,Ap,0,18,0.22,2.25,6.2
LA005,2539637,27272816,Gramercy,90,Ap,0,28,0.18,2.25,7.0
LA005,2539637,27272817,Cancienne,5,Ap,0,58,0.18,2.25,5.7
LA005,2539637,27272818,Schriever,5,Ap,0,20,0.18,2.25,7.3
LA005,1014637,27272775,Frost,5,Ap,0,10,0.22,2.25,5.5
LA005,1014637,27272776,Jeanerette,90,Ap,0,28,0.22,2.25,6.3
LA005,1014637,27272777,Coteau,5,Ap,0,15,0.22,2.25,5.5
LA005,1014638,27272780,Memphis,60,A,0,18,0.22,1.5,5.3
LA005,1014638,27272781,Patoutville,9,Ap,0,18,0.22,2.25,6.2
LA005,1014639,27272785,Olivier,95,Ap,0,13,0.22,2.25,5.5
LA005,1014640,27272786,Commerce,4,Ap,0,25,0.17,2.25,7.0
LA005,1014640,27272787,Sharkey,90,Ap,0,25,0.21,2.25,6.8
LA005,3260438,27272805,Tunica,5,Ap,0,15,0.17,2.0,6.0
LA005,3260438,27272806,Commerce,5,Ap,0,17,0.22,0.95,7.3
LA005,3260438,27272807,Sharkey,90,A,0,25,0.07,2.0,6.8
LA005,3260439,27272808,Sharkey,90,A,0,25,0.07,2.0,6.8
LA005,3260439,27272809,Dowling,5,A,0,10,0.15,3.0,5.3
LA005,3260439,27272810,Tunica,5,Ap,0,15,0.17,2.0,6.0
LA005,3260440,27272811,Fausse,10,A1,0,2,0.09,12.0,6.5
LA005,3260440,27272812,Schriever,90,A,0,10,0.07,2.25,7.2
LA005,3260437,27272802,Thibaut,5,Ap,0,15,0.14,2.0,6.7
LA005,3260437,27272803,Schriever,90,Ap,0,20,0.05,2.25,7.3
LA005,3260437,27272804,Gramercy,5,Ap,0,28,0.18,2.25,7.0
LA005,3260434,27272799,Cancienne,5,Ap,0,58,0.21,2.25,5.7
LA005,3260434,27272800,Thibaut,5,Ap,0,15,0.14,2.0,6.7
LA005,3260434,27272801,Schriever,90,Ap,0,13,0.15,2.25,7.3
LA005,1014643,27272789,Thibaut,85,Ap,0,15,0.13,2.0,6.7
LA005,1014643,27272790,Schriever,10,Ap,0,20,0.1,2.25,7.3
LA005,1014643,27272791,Cancienne,5,Ap,0,58,0.21,2.25,5.7
LA005,1014644,27272792,Schriever,5,Ap,0,13,0.17,2.25,7.3
