areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
MD001,2401021,27436774,Downsville,5,Ap,0,25,0.16,2.0,5.0
MD001,2401021,27436775,Allegheny,85,Ap,0,18,0.17,2.5,6.2
MD001,2401021,27436776,Monongahela,10,Ap,0,25,0.21,3.0,6.2
MD001,2401022,27437035,Downsville,5,Ap,0,25,0.16,2.0,5.0
MD001,2401022,27437036,Monongahela,10,Ap,0,25,0.21,3.0,6.2
MD001,2401022,27437037,Allegheny,85,Ap,0,18,0.17,2.5,6.2
MD001,2401023,27436777,Allegheny,85,Ap,0,18,0.17,2.5,6.2
MD001,2401023,27436778,Monongahela,5,Ap,0,25,0.21,3.0,6.2
MD001,2401023,27436779,Downsville,10,Ap,0,25,0.16,2.0,5.0
MD001,2401024,27436780,Berks,5,A,0,23,0.11,2.5,4.5
MD001,2401024,27436781,Downsville,10,Ap,0,25,0.16,2.0,5.0
MD001,2401024,27436782,Allegheny,85,Ap,0,18,0.17,2.5,6.2
MD001,2401030,27436481,Philo,10,Ap,0,25,0.17,4.0,6.2
MD001,2401030,27436482,Atkins,85,A,0,28,0.18,3.0,5.0
MD001,2401030,27436483,Pope,5,Ap,0,25,0.13,4.0,5.0
MD001,2401048,27436484,Craigsville,5,A,0,13,0.1,2.0,4.8
MD001,2401048,27436485,Basher,85,Ap,0,20,0.18,3.0,6.2
MD001,2401048,27436486,Pope,5,Ap,0,25,0.13,4.0,5.0
MD001,2401048,27436487,Atkins,5,A,0,28,0.18,3.0,5.0
MD001,2401043,27436662,Blairton,10,H1,0,23,0.14,2.5,6.1
MD001,2401043,27436663,Berks,85,Ap,0,18,0.14,3.0,5.8
MD001,2401043,27436664,Weikert,5,Ap,0,18,0.15,2.5,5.0
MD001,2401044,27436653,Berks,85,Ap,0,18,0.13,3.0,5.8
MD001,2401044,27436654,Brinkerton,5,Ap,0,23,0.21,2.5,6.1
MD001,2401044,27436655,Weikert,10,Ap,0,18,0.15,2.5,5.0
MD001,2401045,27436656,Berks,85,Ap,0,20,0.13,3.0,5.8
MD001,2401045,27436657,Weikert,10,Ap,0,18,0.15,2.5,5.0
MD001,2401045,27436658,Brinkerton,5,Ap,0,23,0.21,2.5,6.1
MD001,2401046,27436659,Weikert,10,Ap,0,18,0.15,2.5,5.0
MD001,2401046,27436660,Brinkerton,5,Ap,0,23,0.21,2.5,6.1
MD001,2401046,27436661,Berks,85,Ap,0,18,0.13,1.9,5.5
MD001,2401037,27436846,Weikert,10,A,0,13,0.11,2.5,4.5
MD001,2401037,27436847,Berks,85,A,0,23,0.11,2.5,4.5
MD001,2401037,27436848,Blairton,5,Ap,0,13,0.17,2.5,4.6
MD001,2401038,27436819,Weikert,10,A,0,13,0.11,2.5,4.5
MD001,2401038,27436820,Blairton,5,Ap,0,13,0.17,2.5,4.6
MD001,2401038,27436821,Berks,85,A,0,23,0.11,2.5,4.5
MD001,2401039,27436849,Berks,85,A,0,23,0.11,2.5,4.5
MD001,2401039,27436850,Weikert,10,A,0,13,0.11,2.5,4.5
MD001,2401039,27436851,Rough,5,A,0,5,0.07,1.25,4.5
MD001,1868131,27436608,Weikert,10,A,0,13,0.11,2.5,4.5
MD001,1868131,27436609,Berks,85,Oi,0,5,0.01,69.0,4.3
MD001,1868131,27436610,Rough,5,A,0,5,0.07,1.25,4.5
MD001,2401010,27436852,Berks,60,Ap,0,23,0.11,2.5,4.5
MD001,2401010,27436854,Blairton,5,Ap,0,13,0.17,2.5,4.6
MD001,2401011,27436856,Berks,60,Ap,0,23,0.11,2.5,4.5
MD001,2401011,27436857,Blairton,5,Ap,0,13,0.17,2.5,4.6
MD001,2401055,27437139,Elliber,10,Ap,0,13,0.1,2.0,5.8
MD001,2401055,27437140,Murrill,5,A+E,0,23,0.14,9.0,5.3
MD001,2401040,27436353,Ernest,5,Ap,0,15,0.17,3.0,5.3
MD001,2401040,27436354,Blairton,85,Ap,0,13,0.17,2.5,4.6
MD001,2401040,27436355,Berks,5,Ap,0,23,0.11,2.5,4.5
MD001,2401040,27436356,Brinkerton,5,Ap,0,20,0.21,2.5,6.1
MD001,2401041,27436357,Weikert,5,Ap,0,13,0.11,2.5,4.5
MD001,2401041,27436358,Blairton,85,Ap,0,13,0.17,2.5,4.6
MD001,2401041,27436359,Ernest,5,Ap,0,15,0.17,3.0,5.3
MD001,2401041,27436360,Berks,5,Ap,0,23,0.11,2.5,4.5
MD001,2401042,27436365,Blairton,85,Ap,0,13,0.17,2.5,4.6
MD001,2401042,27436366,Berks,5,Ap,0,23,0.11,2.5,4.5
MD001,2401042,27436367,Weikert,5,Ap,0,13,0.11,2.5,4.5
MD001,2401042,27436368,Ernest,5,Ap,0,15,0.17,3.0,5.3
MD001,2401057,27436665,Brinkerton,27,Ap,0,20,0.21,4.5,5.4
MD001,2401057,27436666,Portville,5,H1,0,18,0.2,5.5,4.8
MD001,2401057,27436667,Brinkerton,58,Oi,0,3,0.01,69.0,4.5
MD001,2401057,27436668,Philo,5,Ap,0,13,0.17,3.0,5.3
MD001,2401057,27436669,Ernest,5,Oe,0,3,0.05,60.0,4.5
MD001,2401058,27436565,Ernest,5,Ap,0,15,0.17,3.0,5.3
MD001,2401058,27436566,Wharton,5,Ap,0,15,0.17,2.0,5.0
MD001,2401058,27436567,Brinkerton,85,Ap,0,20,0.21,2.5,6.1
MD001,2401058,27436568,Cavode,5,Ap,0,25,0.2,3.0,5.0
MD001,2401060,27436705,Buchanan,85,Oi,0,3,0.01,69.0,4.3
MD001,2401060,27436706,Hazleton,4,A,0,25,0.11,3.0,5.5
MD001,2401060,27436707,Laidig,5,Oi,0,2,0.01,69.0,4.3
MD001,2401060,27436708,Philo,3,Oi,0,1,0.01,69.0,4.3
MD001,2401060,27436709,Andover,3,Oi,0,1,0.01,69.0,4.3
MD001,2401061,27436632,Andover,3,Oi,0,1,0.01,69.0,4.3
MD001,2401061,27436633,Philo,2,Oi,0,1,0.01,69.0,4.3
MD001,2401061,27436634,Buchanan,85,Oi,0,3,0.01,69.0,4.3
MD001,2401061,27436635,Hazleton,5,A,0,25,0.11,3.0,5.5
MD001,2401061,27436636,Laidig,5,Oi,0,2,0.01,69.0,4.3
MD001,2401062,27436720,Philo,2,Oi,0,1,0.01,69.0,4.3
MD001,2401062,27436721,Buchanan,85,Oi,0,3,0.01,69.0,4.3
MD001,2401062,27436722,Hazleton,8,A,0,25,0.11,3.0,5.5
MD001,2401062,27436723,Laidig,5,Oi,0,2,0.01,69.0,4.3
MD001,2401063,27436710,Craigsville,3,A,0,13,0.09,3.0,5.1
MD001,2401063,27436711,Laidig,5,Oi,0,2,0.01,69.0,4.3
MD001,2401063,27436712,Andover,3,Oi,0,1,0.01,69.0,4.3
MD001,2401063,27436713,Buchanan,85,Oi,0,3,0.01,69.0,4.3
MD001,2401063,27436714,Hazleton,4,Oi,0,2,0.01,69.0,4.3
MD001,2401064,27436637,Hazleton,5,Oi,0,2,0.01,69.0,4.3
MD001,2401064,27436638,Buchanan,85,Oi,0,3,0.01,69.0,4.3
MD001,2401064,27436639,Laidig,5,Oi,0,2,0.01,69.0,4.3
MD001,2401064,27436640,Craigsville,2,A,0,13,0.09,3.0,5.1
MD001,2401064,27436641,Andover,3,Oi,0,1,0.01,69.0,4.3
MD001,2401065,27436724,Buchanan,85,Oi,0,3,0.01,69.0,4.3
MD001,2401065,27436725,Hazleton,8,A,0,25,0.11,3.0,5.5
MD001,2401065,27436726,Craigsville,2,A,0,13,0.09,3.0,5.1
MD001,2401065,27436727,Laidig,5,Oi,0,2,0.01,69.0,4.3
MD001,2401066,27436715,Andover,3,Oi,0,1,0.01,69.0,4.3
MD001,2401066,27436716,Hazleton,5,A,0,25,0.11,3.0,5.5
MD001,2401066,27436717,Buchanan,85,Oi,0,3,0.01,69.0,4.3
MD001,2401066,27436718,Laidig,4,Oi,0,2,0.01,69.0,4.3
MD001,2401066,27436719,Craigsville,3,A,0,13,0.09,3.0,5.1
MD001,2401067,27436642,Laidig,4,Oi,0,2,0.01,69.0,4.3
MD001,2401067,27436643,Craigsville,3,A,0,13,0.09,3.0,5.1
MD001,2401067,27436644,Andover,3,Oi,0,1,0.01,69.0,4.3
MD001,2401067,27436645,Hazleton,5,A,0,25,0.11,3.0,5.5
MD001,2401067,27436646,Buchanan,85,Oi,0,3,0.01,69.0,4.3
MD001,2401068,27436728,Laidig,10,Oi,0,2,0.01,69.0,4.3
MD001,2401068,27436729,Craigsville,2,A,0,13,0.09,3.0,5.1
MD001,2401068,27436730,Hazleton,3,A,0,25,0.11,3.0,5.5
MD001,2401068,27436731,Buchanan,85,Oi,0,3,0.01,69.0,4.3
MD001,2401012,27436517,Buchanan,55,Ap,0,20,0.15,2.0,4.8
MD001,2401012,27436519,Brinkerton,5,Ap,0,20,0.21,2.5,6.1
MD001,2401012,27436520,Dekalb,5,Ap,0,15,0.1,2.5,4.0
MD001,2401013,27436552,Brinkerton,5,Ap,0,20,0.21,2.5,6.1
MD001,2401013,27436553,Dekalb,5,Ap,0,15,0.1,2.5,4.0
MD001,2401013,27436556,Buchanan,55,Ap,0,20,0.15,2.0,4.8
MD001,2401072,27436860,Calvin,85,Ap,0,8,0.1,2.5,5.3
MD001,2401072,27436861,Hustontown,10,Ap,0,20,0.18,2.5,5.8
MD001,2401072,27436862,Lehew,5,A,0,15,0.1,2.5,5.0
MD001,2401073,27436822,Hustontown,5,Ap,0,20,0.18,2.5,5.8
MD001,2401073,27436823,Klinesville,5,Ap,0,5,0.1,2.5,5.3
MD001,2401073,27436824,Calvin,85,Ap,0,8,0.1,2.5,5.3
MD001,2401073,27436825,Lehew,5,A,0,15,0.1,2.5,5.0
MD001,2401074,27436826,Hustontown,5,Ap,0,20,0.18,2.5,5.8
MD001,2401074,27436827,Calvin,85,Ap,0,8,0.1,2.5,5.3
MD001,2401074,27436828,Klinesville,5,Ap,0,5,0.1,2.5,5.3
MD001,2401074,27436829,Lehew,5,A,0,15,0.1,2.5,5.0
MD001,2401075,27437022,Klinesville,10,Ap,0,5,0.1,2.5,5.3
MD001,2401075,27437023,Lehew,5,A,0,15,0.1,2.5,5.0
MD001,2401075,27437024,Calvin,85,Ap,0,8,0.1,2.5,5.3
MD001,2401076,27437019,Lehew,10,A,0,15,0.1,2.5,5.0
MD001,2401076,27437020,Klinesville,5,Ap,0,5,0.1,2.5,5.3
