areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
MI005,212443,26975502,Glendora,87,Ap,0,27,0.11,7.0,6.7
MI005,212493,26975647,Blount,7,Ap,0,15,0.22,2.5,6.5
MI005,212493,26975648,Glynwood,93,Ap,0,25,0.2,1.5,6.2
MI005,212494,26975649,Blount,5,Ap,0,15,0.22,2.5,6.5
MI005,212494,26975650,Glynwood,90,Ap,0,25,0.2,1.5,6.2
MI005,212494,26975651,Marlette,5,Ap,0,25,0.21,2.0,6.5
MI005,212426,26975438,Morocco,1,Ap,0,21,0.11,2.1,5.5
MI005,212426,26975439,Newton,1,Ap,0,25,0.11,4.0,5.3
MI005,212426,26975440,Oakville,96,A,0,10,0.07,2.0,5.1
MI005,212426,26975442,Maumee,1,Ap,0,25,0.11,3.0,6.3
MI005,212427,26975443,Chelsea,27,A,0,10,0.13,0.75,6.2
MI005,212427,26975444,Ockley,4,H1,0,28,0.22,1.75,5.8
MI005,212427,26975445,Brady,4,Ap,0,23,0.14,3.0,5.8
MI005,212427,26975446,Oshtemo,65,Ap,0,25,0.11,1.75,5.8
MI005,212428,26975447,Ockley,2,H1,0,28,0.22,1.75,5.8
MI005,212428,26975448,Oshtemo,60,Ap,0,25,0.11,1.75,5.8
MI005,212428,26975449,Chelsea,35,A,0,10,0.13,0.75,6.2
MI005,212428,26975450,Brady,3,Ap,0,23,0.14,3.0,5.8
MI005,212429,26975451,Oshtemo,60,Ap,0,25,0.11,1.75,5.8
MI005,212429,26975452,Chelsea,30,A,0,10,0.13,0.75,6.2
MI005,212429,26975453,Ockley,8,Ap,0,28,0.22,1.75,5.8
MI005,212429,26975454,Brady,2,Ap,0,23,0.14,3.0,5.8
MI005,212430,26975455,Chelsea,40,A,0,10,0.13,0.75,6.2
MI005,212430,26975456,Oshtemo,55,Ap,0,25,0.11,1.75,5.8
MI005,212430,26975457,Brady,2,Ap,0,23,0.14,3.0,5.8
MI005,212430,26975458,Ockley,3,Ap,0,28,0.22,1.75,5.8
MI005,212431,26975459,Brady,7,Ap,0,23,0.14,3.0,5.8
MI005,212431,26975460,Ockley,87,Ap,0,28,0.22,1.75,5.8
MI005,212431,26975461,Chelsea,6,A,0,10,0.13,0.75,6.2
MI005,212432,26975462,Brady,7,Ap,0,23,0.14,3.0,5.8
MI005,212432,26975463,Ockley,93,Ap,0,28,0.22,1.75,5.8
MI005,212433,26975464,Ockley,87,Ap,0,28,0.22,1.75,5.8
MI005,212433,26975465,Brady,13,Ap,0,23,0.14,3.0,5.8
MI005,212434,26975466,Brady,13,Ap,0,23,0.14,3.0,5.8
MI005,212434,26975467,Ockley,87,Ap,0,28,0.22,1.75,5.8
MI005,212435,26975468,Filer,90,Ap,0,20,0.21,2.0,6.1
MI005,212435,26975469,Capac,6,Ap,0,20,0.21,2.0,6.1
MI005,212435,26975470,Parkhill,2,Ap,0,23,0.21,4.0,6.3
MI005,212435,26975471,Metea,1,Ap,0,23,0.11,1.1,5.8
MI005,212435,26975472,Oshtemo,1,Ap,0,21,0.13,1.31,6.0
MI005,212436,26975473,Filer,90,Ap,0,18,0.21,2.0,6.1
MI005,212436,26975474,Capac,3,Ap,0,20,0.21,2.0,6.1
MI005,212436,26975475,Spinks,3,Ap,0,20,0.11,1.2,6.0
MI005,212436,26975476,Parkhill,2,Ap,0,23,0.21,4.0,6.3
MI005,212436,26975477,Oshtemo,2,Ap,0,21,0.13,1.31,6.0
MI005,212437,26975478,Filer,92,A,0,8,0.21,2.0,6.1
MI005,212437,26975479,Capac,1,A,0,20,0.21,2.0,6.1
MI005,212437,26975480,Boyer,1,A,0,8,0.17,3.0,6.3
MI005,212437,26975481,Oshtemo,3,A,0,21,0.13,1.31,6.0
MI005,212437,26975482,Spinks,3,A,0,20,0.11,1.2,6.0
MI005,212438,26975483,Morocco,50,Ap,0,2,0.08,1.25,5.8
MI005,212438,26975484,Newton,40,A,0,28,0.21,13.0,5.3
MI005,212438,26975485,Oakville,10,Ap,0,23,0.08,1.25,5.5
MI005,212439,26975486,Capac,90,Ap,0,24,0.21,2.5,6.6
MI005,212439,26975487,Marlette,2,Ap,0,23,0.21,2.0,6.1
MI005,212439,26975488,Filer,1,Ap,0,23,0.21,2.0,6.1
MI005,212439,26975489,Parkhill,4,Ap,0,23,0.21,4.0,6.3
MI005,212439,26975490,Selfridge,3,H1,0,30,0.11,2.0,6.5
MI005,212440,26975491,Belleville,3,Ap,0,20,0.11,6.5,7.2
MI005,212440,26975492,Corunna,1,Ap,0,28,0.14,6.0,7.0
MI005,212440,26975494,Brookston,90,Ap,0,30,0.21,5.8,6.5
MI005,212440,26975495,Conover,5,Ap,0,25,0.15,2.6,6.4
MI005,212442,26975497,Brady,87,Ap,0,23,0.14,3.0,5.8
MI005,212442,26975498,Oshtemo,6,Ap,0,25,0.11,1.75,5.8
MI005,212442,26975499,Sebewa,7,Ap,0,25,0.22,7.0,7.0
MI005,212444,26975503,Corunna,5,Ap,0,28,0.14,6.0,7.0
MI005,212444,26975504,Wixom,30,Ap,0,23,0.11,3.0,6.2
MI005,212444,26975505,Pipestone,5,Ap,0,23,0.09,3.5,5.9
MI005,212444,26975506,Brookston,5,Ap,0,25,0.23,4.0,6.7
MI005,212444,26975507,Capac,55,Ap,0,23,0.2,4.0,6.5
MI005,212445,26975508,Sebewa,4,Ap,0,25,0.22,7.0,7.0
MI005,212445,26975509,Matherton,93,Ap,0,20,0.18,3.0,7.2
MI005,212445,26975510,Oshtemo,3,Ap,0,25,0.11,1.75,5.8
MI005,212446,26975511,Gilford,2,Ap,0,36,0.14,3.0,6.3
MI005,212446,26975512,Matherton,5,Ap,0,20,0.14,4.0,6.3
MI005,212446,26975513,Sebewa,93,Ap,0,29,0.2,3.4,6.7
MI005,212448,26975514,Rimer,5,Ap,0,28,0.1,2.0,6.2
MI005,212448,26975515,Marlette,5,Ap,0,25,0.21,2.0,6.5
MI005,212448,26975516,Metea,90,Ap,0,30,0.11,1.25,6.5
MI005,212449,26975517,Metea,90,Ap,0,30,0.11,1.25,6.5
MI005,212449,26975518,Marlette,6,Ap,0,25,0.21,2.0,6.5
MI005,212449,26975519,Rimer,4,Ap,0,28,0.1,2.0,6.2
MI001,190242,26972299,Eastport,93,H1,0,20,0.08,1.5,6.2
MI001,190242,26972300,Croswell,4,H1,0,10,0.08,1.25,5.1
MI001,190242,26972301,Au Gres,3,H1,0,25,0.09,3.0,5.5
MI001,190243,26972303,Au Gres,30,H1,0,25,0.09,3.0,5.5
MI001,190244,26972305,Graycalm,94,A,0,8,0.07,5.69,4.1
MI001,190244,26972306,Klacking,4,A,0,5,0.11,4.99,4.6
MI001,190244,26972308,East Lake,1,A,0,2,0.08,4.67,5.8
MI001,190246,26972309,Graycalm,90,AE,0,6,0.13,2.84,4.1
MI001,190246,26972310,Mancelona,2,A,0,5,0.17,4.67,5.8
MI001,190246,26972311,Menominee,2,A,0,10,0.12,4.67,4.1
MI001,190246,26972312,Klacking,6,A,0,5,0.14,4.99,4.6
MI001,190247,26972313,Coppler,3,H1,0,13,0.1,1.75,6.2
MI001,190247,26972314,Graycalm,97,H1,0,2,0.07,1.25,5.5
MI001,190249,26972315,Grayling,4,H1,0,5,0.08,3.5,4.6
MI001,190249,26972316,Leafriver,3,Oa,0,23,0.43,87.5,6.5
MI001,190249,26972317,Au Gres,93,H1,0,25,0.09,3.0,5.5
MI001,190250,26972318,Leafriver,97,Oa,0,23,0.43,87.5,6.5
MI001,190250,26972319,Au Gres,3,H1,0,25,0.09,3.0,5.5
MI001,190300,26972579,Wakeley,7,H1,0,15,0.18,12.5,6.7
MI001,190300,26972580,Cublake,93,H1,0,15,0.08,1.25,5.3
MI001,190304,26972593,Tacoda,93,H1,0,38,0.08,1.5,5.5
MI001,190304,26972594,Wakeley,7,H1,0,15,0.18,12.5,6.7
MI001,190308,26972602,Wheatley,5,Oa,0,13,0.4,87.5,7.0
MI001,190308,26972603,Battlefield,5,H1,0,23,0.08,2.0,5.3
MI001,190308,26972604,East Lake,90,H1,0,10,0.07,1.25,6.5
MI001,190309,26972605,East Lake,90,H1,0,10,0.07,1.25,6.5
MI001,190309,26972606,Battlefield,5,H1,0,23,0.08,2.0,5.3
MI001,190309,26972607,Wheatley,5,Oa,0,13,0.4,87.5,7.0
