areasymbol,awc_r_wmean,om_r_wmean,ph1to1h2o_r_wmean,n_records
MO001,0.197195,2.9243083333333333,6.42545,179.0
MO003,0.20044626743232158,3.0192288761279737,6.376357670221493,179.0
MO005,0.19660195903829028,2.8229243098842387,6.7912555654496884,190.0
MO007,0.20877188655980275,2.236843403205919,6.35672009864365,109.0
MO009,0.14912591050988555,6.055606139438085,5.834027055150884,297.0
MO011,0.189617066540598,3.3141141709017843,5.9183548043966425,319.0
MO013,0.18993504384540436,2.646378694381292,6.276778174732057,119.0
MO015,0.1909074863950581,2.404684512428298,6.054949257243712,226.0
MO017,0.18108016520173675,10.640460658688976,5.733771047336652,337.0
MO019,0.19616523541604974,2.572135031092686,6.615916493929523,193.0
MO021,0.19925494937282762,2.9351246788574885,6.607828320991386,178.0
MO023,0.17887573375783505,7.778845885981495,5.7878718535469105,334.0
MO025,0.20087376644736843,2.956440172697368,6.163764391447368,294.0
MO027,0.19665579710144926,2.4120289855072463,6.4073671497584535,216.0
MO029,0.16707246376811596,3.0691169082125604,6.008057971014493,189.0
MO031,0.20375181028240408,3.739989138305576,6.073940984793628,304.0
MO033,0.19412376237623763,2.72509900990099,6.461897689768977,174.0
MO035,0.11333295350957154,26.708989288969917,5.252791704649042,342.0
MO037,0.2018098871930989,2.7501675514266752,6.25250497677505,209.0
MO039,0.1885042657469595,3.0125340352151024,5.950898529678707,191.0
MO041,0.20110229007633587,2.565563358778626,6.616717557251908,181.0
MO043,0.15297211304510572,6.381480441699418,5.720924574209246,208.0
MO045,0.20466963151207115,2.6844567979669627,6.3003653113087665,177.0
MO047,0.20050231328486448,2.749530733641771,6.55981493721084,229.0
MO049,0.2035212121212121,3.0743530303030306,6.336681818181818,191.0
MO051,0.19219286460665772,2.630243319898492,6.423510971786834,206.0
MO053,0.20952256770310934,2.296935807422267,6.484593781344032,263.0
MO055,0.15979163987138262,9.878689389067524,5.77965273311897,284.0
MO057,0.1890523642047675,3.106643220007815,5.886342321219226,187.0
MO059,0.17664338919925512,2.8425046554934825,5.969956548727499,226.0
MO061,0.20198639455782313,3.1194523809523815,6.364200680272108,174.0
MO063,0.19514613778705636,3.005041753653445,6.325657620041754,152.0
MO065,0.14453756642227752,14.570922176632813,5.531956682585593,554.0
MO067,0.149271499644634,6.904984008528785,5.638805970149254,235.0
MO069,0.19125121241513093,1.7270999030067897,6.051395624528506,243.0
MO071,0.17078407021029973,8.614812054975989,5.989244908097367,406.0
MO073,0.1794323568737085,6.07108909687614,6.016275677646773,268.0
MO075,0.2019766666666667,3.1081483333333333,6.3239166666666655,188.0
MO077,0.17546614223450624,4.835643669607739,5.895535239715105,342.0
MO079,0.2000549019607843,2.9535156862745096,6.485666666666667,172.0
MO081,0.20060837887067398,3.0451493624772317,6.361092896174863,178.0
MO083,0.19207100591715975,2.382237563006794,6.019614288845058,311.0
MO085,0.17843521594684386,2.4428073089700995,6.045431893687708,221.0
MO087,0.19944875107665805,2.7915762273901814,6.830146425495263,183.0
MO089,0.20481423338566196,2.341905808477237,6.289900575614862,267.0
MO091,0.165644580285995,4.863796528763236,5.724822617618164,395.0
MO093,0.1512604890372643,15.049517278715149,5.636136425155644,406.0
MO095,0.19894041678896393,2.5694936894628704,6.464822424420311,191.0
MO097,0.1886585365853658,2.9465420928402835,6.027517702596381,150.0
MO099,0.17375488351902763,10.203105194617278,6.131601794241064,223.0
MO101,0.21050056882821389,2.4753924914675767,6.164833775755278,254.0
MO103,0.2125868544600939,2.659430359937402,6.408701095461659,193.0
MO105,0.16597040737893926,3.4840661029976943,5.976325903151421,196.0
MO107,0.2072974537037037,2.6460543981481477,6.5033564814814815,232.0
MO109,0.17279799546593486,4.539298413077198,5.8727836773654705,300.0
MO111,0.20983911333571686,2.489921344297462,6.402645691812657,161.0
MO113,0.2027476475620188,2.884475620188195,6.215500427715996,136.0
MO115,0.20069339622641508,2.7390707547169812,6.405683962264151,253.0
MO117,0.2023317445185891,3.19289037178265,6.326901811248808,147.0
MO119,0.1463329383886256,4.478647314375987,5.9953001579778835,180.0
MO121,0.20347917987740433,2.713015218769816,6.3491016698372436,270.0
MO123,0.14755841517101254,20.2859075516424,5.523535387741281,237.0
MO125,0.1868876651982379,2.8786211453744492,6.042246696035242,153.0
MO127,0.20527502967946182,2.651873763355758,6.301266323703996,132.0
MO129,0.19232210526315785,3.0012378947368425,6.3039999999999985,148.0
MO131,0.18497360703812318,2.7909247311827956,6.125415444770283,171.0
MO133,0.17880882097586387,1.857067199166522,6.210210105921166,144.0
MO135,0.20098771311553482,2.3892704067054003,6.347575959615201,286.0
MO137,0.20653061224489794,2.4752011661807582,6.342585034013604,142.0
MO139,0.1958309487123046,2.610799031476997,6.465276249174554,243.0
MO141,0.19978833693304537,2.5210043196544274,6.1593088552915765,139.0
MO143,0.1748593884317819,1.767585656391993,6.202050841213312,193.0
MO145,0.16039387308533914,6.720680326238313,5.717028048537895,182.0
MO147,0.20413703382480486,3.3921925411968776,6.307771032090199,201.0
MO149,0.13047145452806733,16.68094195275892,5.512403174906761,414.0
MO151,0.1910452758771291,2.7224530499344883,6.309026059106129,213.0
MO153,0.14137688245648347,5.409231371015059,5.6479757480930965,224.0
MO155,0.18356701779876503,1.725799128223756,6.2539774791136935,122.0
MO157,0.1698431860609832,8.049218419415059,6.130640945861854,261.0
MO159,0.2131783723522854,2.6757748049052394,6.252798216276478,247.0
MO161,0.15482814526588845,6.397490272373541,5.839056420233463,229.0
MO163,0.2045292655991165,2.6528644395361676,6.341648260629487,184.0
MO165,0.20107462686567165,2.40484328358209,6.577723880597015,152.0
MO167,0.19099581444018138,3.0244332054412277,5.955580746424834,201.0
MO169,0.15952054059851978,5.733232864957632,5.735932639708247,359.0
MO171,0.20027111111111112,2.8395333333333332,6.358155555555556,134.0
MO173,0.20714596949891068,2.5105921964745495,6.33370964547435,127.0
MO175,0.20915576036866362,2.3657493087557606,6.170267281105991,152.0
MO177,0.1967891061452514,2.7902360335195526,6.500921787709498,215.0
MO179,0.14292665890570433,15.249138533178115,5.680314318975553,336.0
MO181,0.14027322404371584,15.49626354922512,5.527779270805339,388.0
MO183,0.1936668649613325,2.473066032123736,6.559535990481856,200.0
MO185,0.18235255047821466,2.8472701912858662,6.002683315621678,281.0
MO186,0.177600256657042,8.619031119666346,5.965383381456529,198.0
MO187,0.15778464403623127,15.855498179971217,5.71220689071362,423.0
MO189,0.18289412088668594,3.4471003717472124,6.382128596998484,214.0
MO195,0.2051529035695258,2.5963132658497603,6.523803942461374,257.0
MO197,0.20068704156479217,3.0293887530562347,6.169413202933986,120.0
MO199,0.2138030303030303,2.7338439393939393,6.376787878787878,197.0
MO201,0.18296438764114656,1.7622471770691153,6.207333416056582,205.0
MO203,0.13059900166389352,19.097638783845106,5.466117077597943,513.0
MO205,0.20944424460431654,2.6845827338129498,6.415863309352519,160.0
MO207,0.19827028414926395,2.3512196165696677,5.903346456692914,295.0
