areasymbol,awc_r_wmean,om_r_wmean,ph1to1h2o_r_wmean,n_records
MS001,0.1922621621621622,1.6451621621621622,6.031891891891893,90.0
MS003,0.1805114217524719,1.8689396522332082,5.336617797476985,91.0
MS005,0.16915973377703827,1.6089850249584026,5.163893510815308,49.0
MS007,0.1975068587105624,1.6386316872427982,5.032681755829904,78.0
MS009,0.19770949720670392,1.4049517521584558,5.279278821736922,57.0
MS011,0.1647710607788822,1.4152207919178754,6.05074140459508,138.0
MS013,0.20421885299934078,1.438145462535707,5.17703801362338,102.0
MS015,0.1977264367816092,1.513480459770115,5.552390804597701,109.0
MS017,0.17691632653061223,1.6973775510204083,5.528163265306121,135.0
MS019,0.18278489862502914,1.5893148450244698,5.12321137264041,130.0
MS021,0.2161491374513077,1.3983444629938786,5.482025598219254,100.0
MS023,0.15289494239406368,1.7881517281780903,5.242843194688538,272.0
MS025,0.1724611739931561,2.0400763358778624,5.698947091339827,135.0
MS027,0.1649775704288534,1.496404091153777,6.083150906154675,116.0
MS029,0.18424453024453027,1.449021879021879,5.241338481338483,124.0
MS031,0.1655545594262295,1.6807761270491806,5.033747438524591,216.0
MS033,0.2001903735632184,1.4231142241379313,5.513158524904215,144.0
MS035,0.15826886145404662,1.7554869684499312,5.047050754458161,127.0
MS037,0.1863490364025696,1.4319593147751606,5.352676659528908,73.0
MS039,0.1302333840690005,1.8156392694063928,5.065829528158295,148.0
MS041,0.14615882352941176,2.369142156862745,5.0900784313725485,440.0
MS043,0.20366832504145935,1.4365422885572139,5.165273631840796,147.0
MS045,0.13493788819875777,1.9495341614906834,5.049426660296225,178.0
MS047,0.12632105112824904,1.9201656669522995,5.154098828906028,142.0
MS049,0.2122850442939031,1.5093694632621157,5.371052631578947,194.0
MS051,0.19899465663962007,2.0418741341777165,5.435642192756779,134.0
MS053,0.1911168760240306,1.4297596941561985,5.298825778263246,62.0
MS055,0.17238275560734054,1.4829886396737546,6.522283716865715,82.0
MS057,0.16461592670895,1.5711240310077519,5.146018322762508,79.0
MS059,0.13959963099630995,2.382518450184502,5.053284132841329,149.0
MS061,0.15515098383011883,1.7813656730956555,5.304558737580361,166.0
MS063,0.19963676563487048,1.6471130764371447,5.8391977258370185,74.0
MS065,0.15993660326993664,1.7036202869536203,5.010477143810477,77.0
MS067,0.15433183004984571,1.705732257298837,5.050795157844766,131.0
MS069,0.15999460625674217,1.7943185904350951,5.287414599065084,213.0
MS071,0.18617602883748877,1.3550165214779213,5.331661159507359,94.0
MS073,0.14620085267645666,1.8153718616769305,5.076693510184746,77.0
MS075,0.149981780915509,1.4776816214985198,5.062240947392393,175.0
MS077,0.16478584729981377,1.6307262569832401,5.091992551210428,89.0
MS079,0.16907947019867547,1.6021523178807946,5.055033112582781,88.0
MS081,0.16610733983877815,1.7785850657615616,5.549575731862538,108.0
MS083,0.17061915511125444,1.9055949693647212,5.465495001612383,76.0
MS085,0.1775194508009153,1.4660335621662854,5.117376048817697,138.0
MS087,0.16796692432140928,1.9320061118101743,5.624159626101024,212.0
MS089,0.2107209348385819,1.5033115468409586,5.361200237670825,146.0
MS091,0.15170963364993215,1.8693181818181819,5.075135685210314,94.0
MS093,0.20186583850931678,1.4881863354037268,5.2548322981366455,142.0
MS095,0.16763912515188334,1.7646597812879707,5.3928918590522485,154.0
MS097,0.19523982265215645,1.5352075775896816,5.205320435308344,71.0
MS099,0.1678511195114859,1.8355626635649898,5.009334108752544,105.0
MS101,0.15950419445041944,1.6957947945794798,5.159260055926005,198.0
MS103,0.1658181539874483,2.0110209704576762,5.557906015613041,228.0
MS105,0.17555511888386716,2.093387698958538,5.4895264295539405,155.0
MS107,0.20423686022492543,1.4909226532017439,5.23295845765435,107.0
MS109,0.14566996871741397,1.715980187695516,5.00002606882169,112.0
MS111,0.14016818307140888,1.6499862145023434,5.038957816377171,121.0
MS113,0.1682529076961148,1.6721108636476119,5.029868844345458,100.0
MS115,0.19313002896684905,1.759856775024139,5.302429996781461,137.0
MS117,0.1730497443049745,1.6799744304974433,5.293003254300324,94.0
MS119,0.17657024793388432,1.5573261019283748,5.73724173553719,114.0
MS121,0.19339518139019662,1.6053032400996954,5.107366380504015,129.0
MS123,0.17545211473018962,1.7470831307729704,5.131769567331064,124.0
MS125,0.18208472314876586,1.6204469646430955,6.23815877251501,63.0
MS127,0.17572259644825475,1.6287507654623394,5.193386405388854,107.0
MS129,0.15636294991190536,1.7389881701485024,5.116385602819029,133.0
