areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
NC003,111316,27106304,Ashe,46,A,0,13,0.12,4.5,4.8
NC003,111316,27106305,Cleveland,44,A,0,13,0.08,4.25,5.3
NC003,111318,27106307,Ashe,46,A,0,13,0.12,4.5,4.8
NC003,111318,27106308,Cleveland,44,A,0,13,0.08,4.25,5.3
NC003,2392874,27106265,Banister,90,Ap,0,5,0.12,0.75,5.5
NC003,2392874,27106266,Kinkora,5,A,0,18,0.17,1.25,4.5
NC003,2392874,27106267,Codorus,2,A,0,20,0.2,2.5,6.4
NC003,2392874,27106268,Danripple,3,Ap,0,20,0.14,2.0,5.0
NC003,2392879,27106269,Braddock,50,Ap,0,28,0.17,1.0,4.6
NC003,2392879,27106270,Hayesville,40,Ap,0,15,0.16,2.0,5.0
NC003,2392880,27106271,Braddock,60,Ap,0,28,0.17,1.0,4.6
NC003,2392880,27106272,Hayesville,30,Ap,0,15,0.16,2.0,5.0
NC003,2432926,27106222,Ashe,8,A,0,13,0.12,4.5,4.8
NC003,2432926,27106223,Cleveland,45,A,0,10,0.08,4.25,5.3
NC003,2390342,27106329,Clifford,90,Ap,0,15,0.14,0.75,6.3
NC003,2390342,27106330,Westfield,5,Ap,0,23,0.15,1.0,6.0
NC003,2390342,27106331,Woolwine,5,Ap,0,20,0.14,1.0,6.0
NC003,2390343,27106240,Clifford,50,Ap,0,15,0.14,0.75,5.5
NC003,2390344,27106232,Codorus,85,A,0,20,0.2,2.5,6.4
NC003,2390344,27106233,Dan River,2,Ap,0,20,0.2,2.0,5.4
NC003,2390344,27106234,Comus,2,Ap,0,20,0.11,2.0,5.4
NC003,2390344,27106235,Ronda,2,Ap,0,20,0.08,1.0,6.2
NC003,2390344,27106236,Banister,2,Ap,0,5,0.12,0.75,5.5
NC003,2390344,27106237,Pfafftown,2,Ap,0,25,0.16,0.75,4.6
NC003,2390344,27106238,Hatboro,5,A,0,20,0.13,3.5,5.5
NC003,111340,27106309,Ashe,4,A,0,13,0.12,4.5,4.8
NC003,111340,27106310,Chestnut,3,A,0,8,0.14,6.0,5.0
NC003,111340,27106311,Evard,5,A,0,20,0.13,6.0,5.0
NC003,111340,27106312,Saluda,15,A,0,15,0.1,3.0,5.5
NC003,111340,27106313,Cowee,70,A,0,15,0.13,4.0,4.8
NC003,111341,27106314,Ashe,5,A,0,13,0.12,4.5,4.8
NC003,111341,27106315,Chestnut,3,A,0,8,0.14,6.0,5.0
NC003,111341,27106316,Evard,5,A,0,20,0.13,6.0,5.0
NC003,111341,27106317,Saluda,15,A,0,15,0.1,3.0,5.5
NC003,111341,27106318,Cowee,70,A,0,15,0.13,4.0,4.8
NC003,2392875,27106345,Banister,2,Ap,0,5,0.12,0.75,5.5
NC003,2392875,27106346,Pfafftown,2,Ap,0,25,0.16,0.75,4.6
NC003,2392875,27106347,Ronda,2,Ap,0,20,0.08,1.0,6.2
NC003,2392875,27106348,Dan River,50,Ap,0,20,0.2,2.0,5.4
NC003,2392875,27106349,Comus,40,Ap,0,20,0.11,2.0,5.4
NC003,2392875,27106350,Codorus,4,A,0,20,0.2,2.5,6.4
NC003,1896890,27106292,Udorthents,5,C,0,203,0.09,0.5,6.2
NC003,2392870,27106257,Yadkin,1,Ap,0,15,0.16,1.25,6.1
NC003,2392870,27106258,Banister,5,Ap,0,5,0.12,0.75,5.5
NC003,2392870,27106259,Danripple,90,Ap,0,20,0.14,1.75,4.8
NC003,2392870,27106260,Pfafftown,4,Ap,0,25,0.16,0.75,4.6
NC003,2392872,27106261,Yadkin,1,Ap,0,15,0.16,1.25,6.1
NC003,2392872,27106262,Pfafftown,4,Ap,0,25,0.16,0.75,4.6
NC003,2392872,27106263,Banister,5,Ap,0,5,0.12,0.75,5.5
NC003,2392872,27106264,Danripple,90,Ap,0,20,0.14,1.75,4.8
NC003,111350,27106319,Saluda,5,A,0,15,0.1,3.0,5.5
NC003,111350,27106320,Chestnut,3,A,0,8,0.14,6.0,5.0
