areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
ND001,2755630,26518306,Janesburg,18,Ap,0,20,0.21,3.0,6.3
ND001,2755630,26518307,Belfield,7,A,0,23,0.19,3.0,6.6
ND001,2755630,26518308,Amor,7,Ap,0,20,0.19,3.0,7.0
ND001,2755630,26518309,Watrous,7,Ap,0,18,0.21,4.5,7.0
ND001,2755630,26518310,Regent,3,Ap,0,25,0.19,2.0,7.0
ND001,2755630,26518311,Sinnigam,54,A,0,15,0.21,3.0,7.0
ND001,2755630,26518312,Dogtooth,4,E,0,5,0.14,3.0,6.8
ND001,2755631,26518313,Watrous,5,Ap,0,18,0.21,4.5,7.0
ND001,2755631,26518314,Dogtooth,5,E,0,5,0.14,3.0,6.8
ND001,2755631,26518315,Sinnigam,55,A,0,15,0.21,3.0,7.0
ND001,2755631,26518316,Wayden,10,A,0,8,0.17,1.25,8.0
ND001,2755631,26518317,Janesburg,19,A,0,20,0.21,3.0,6.3
ND001,2755631,26518318,Moreau,3,A,0,15,0.17,2.5,7.6
ND001,2755631,26518319,Wyola,3,Ap,0,18,0.19,2.0,7.0
ND001,2525721,26518320,Heil,2,E,0,8,0.2,4.5,6.5
ND001,2525721,26518321,Janesburg,13,Ap,0,20,0.22,3.0,6.3
ND001,2525721,26518322,Arnegard,3,Ap,0,33,0.19,4.5,6.7
ND001,2525721,26518323,Cabba,5,A,0,8,0.18,2.0,7.5
ND001,2525721,26518324,Watrous,74,Ap,0,18,0.21,4.5,7.0
ND001,2525721,26518325,Sinnigam,3,A,0,15,0.21,3.0,7.0
ND001,2525769,26518326,Belfield,48,Ap,0,18,0.22,4.0,6.6
ND001,2525769,26518327,Grail,5,Ap,0,18,0.2,5.0,6.7
ND001,2525769,26518328,Daglum,40,Ap,0,18,0.18,3.0,6.6
ND001,2525769,26518329,Wyola,5,Ap,0,18,0.2,3.0,7.0
ND001,2525769,26518330,Rhoades,2,Ap,0,13,0.18,3.0,6.5
ND001,2525722,26518331,Regent,2,Ap,0,25,0.19,2.0,7.0
ND001,2525722,26518332,Harriet,2,E,0,5,0.22,4.5,7.5
ND001,2525722,26518333,Rhoades,6,E,0,8,0.11,3.0,6.5
ND001,2525722,26518334,Rhoades,2,E,0,1,0.14,2.5,6.5
ND001,2525722,26518335,Belfield,45,Ap,0,23,0.15,4.0,6.6
ND001,2525722,26518336,Grail,3,Ap,0,13,0.14,5.0,6.7
ND001,2525722,26518337,Daglum,40,Ap,0,18,0.13,3.0,6.4
ND001,2755632,26518338,Daglum,48,Ap,0,18,0.22,3.0,6.6
ND001,2755632,26518339,Rhoades,35,Ap,0,13,0.18,3.0,6.5
ND001,2755632,26518340,Belfield,10,Ap,0,18,0.22,4.0,6.6
ND001,2755632,26518341,Wyola,5,Ap,0,18,0.19,3.0,7.0
ND001,2755632,26518342,Barkof,2,Ap,0,15,0.17,2.5,8.0
ND001,2525720,26518343,Belfield,5,A,0,20,0.23,6.0,6.6
ND001,2525720,26518344,Rhoades,55,E,0,8,0.21,4.0,6.5
ND001,2525720,26518345,Rhoades,2,E,0,1,0.21,1.5,6.5
ND001,2525720,26518346,Barkof,2,A,0,12,0.16,3.0,8.0
ND001,2525720,26518347,Wyola,3,A,0,20,0.18,4.0,7.0
ND001,2525720,26518348,Daglum,33,A,0,7,0.23,5.5,6.6
ND001,2755633,26518349,Harriet,8,E,0,5,0.18,4.5,7.9
ND001,2755633,26518350,Ekalaka,6,A,0,15,0.16,2.5,6.5
ND001,2755633,26518351,Desart,2,A,0,51,0.14,2.5,7.2
ND001,2755633,26518352,Rhoades,48,E,0,8,0.21,4.0,6.5
ND001,2755633,26518353,Rhoades,26,E,0,1,0.21,1.5,6.5
ND001,2755633,26518354,Daglum,10,A,0,7,0.2,3.0,6.6
ND001,2525772,26518355,Belfield,50,Ap,0,15,0.18,3.0,7.0
ND001,2525772,26518356,Grail,25,Ap,0,15,0.18,5.0,6.7
ND001,2525772,26518357,Grail,10,Ap,0,15,0.18,5.5,6.7
ND001,2525772,26518358,Daglum,5,Ap,0,15,0.18,3.0,6.6
ND001,2525772,26518359,Wyola,10,Ap,0,15,0.18,3.0,7.0
ND001,2525723,26518360,Rhoades,3,E,0,8,0.14,3.0,6.5
ND001,2525723,26518361,Harriet,4,E,0,5,0.22,4.5,7.5
ND001,2525723,26518362,Belfield,40,Ap,0,23,0.15,4.0,6.6
ND001,2525723,26518363,Grail,32,Ap,0,13,0.09,5.0,6.7
ND001,2525723,26518364,Daglum,4,Ap,0,18,0.13,3.0,6.4
ND001,2525723,26518365,Arnegard,17,Ap,0,33,0.14,4.5,6.7
ND001,2525724,26518366,Daglum,20,Ap,0,15,0.18,3.0,6.6
ND001,2525724,26518367,Regent,5,Ap,0,15,0.2,3.0,6.8
