areasymbol,awc_r_wmean,om_r_wmean,ph1to1h2o_r_wmean,n_records
NE001,0.20065125583462992,2.870665703489664,6.62374972216048,295.0
NE003,0.16037670971192786,2.1840566974860547,6.71921754412776,370.0
NE005,0.13507522935779817,7.40165137614679,6.975816513761468,121.0
NE007,0.16384235924932977,1.73543163538874,7.330434316353887,202.0
NE009,0.10801129345332627,1.5214840303511559,6.663119816481384,203.0
NE011,0.17596141409786592,2.2673367104979523,6.759129122655745,281.0
NE013,0.1479685654583447,1.9933951122013265,7.300063595893522,345.0
NE015,0.1493941734716398,2.265640035312293,6.960350915912603,275.0
NE017,0.12034935969445068,1.930790833520557,6.6545495394293415,300.0
NE019,0.18769473961535085,2.0765565996311586,6.859058575568632,326.0
NE021,0.19953399729497112,2.7970797983523914,6.9453830075003085,194.0
NE023,0.1958678678678679,2.465900900900901,6.738228228228229,307.0
NE025,0.19366363065326633,2.7638112437185933,6.402496859296482,184.0
NE027,0.18228274638966302,2.3167658981504937,7.086394730174815,210.0
NE029,0.17055514974433894,2.0105655848899096,7.16988416988417,222.0
NE031,0.1247484338292874,3.1903876272513707,6.907713390759593,364.0
NE033,0.16692641186537366,1.8247632629777524,7.2741814033086145,220.0
NE035,0.21731081081081083,4.575405405405406,6.2270270270270265,152.0
NE037,0.1940881213686249,2.4129276952872822,6.983650742414461,173.0
NE039,0.18930114135206325,2.704986830553117,6.943933274802458,179.0
NE041,0.17661829330608073,1.978666326009198,6.870107307102709,350.0
NE043,0.1983225709566001,2.5990388947289382,7.227331431145818,152.0
NE045,0.16069164611776027,1.8393636855716604,7.3748782101401344,467.0
NE047,0.19983902951125626,2.146652280415257,6.984031260935497,229.0
NE049,0.17059772727272726,1.6922954545454545,7.242409090909091,140.0
NE051,0.1840602986756833,2.7133981403212166,6.972978303747535,202.0
NE053,0.18843766033863518,2.5189391995895334,6.98832734735762,225.0
NE055,0.20135785288270378,2.3763021868787275,7.026262425447316,180.0
NE057,0.14986514285714286,1.1949257142857144,7.31472,118.0
NE059,0.22106437548089253,4.650807899461401,6.153526545268017,157.0
NE061,0.18881683339082445,2.257804415315626,6.887978613314937,180.0
NE063,0.2043239369326326,2.061419015766842,6.90764452938366,169.0
NE065,0.20543028685790526,2.1158550144540804,7.089126084056037,145.0
NE067,0.19415053176983912,3.0129670029997273,6.484865012271611,128.0
NE069,0.1360584488572499,1.8499063319595357,7.244860746846508,240.0
NE071,0.15658430519865585,2.267691243328721,6.912354220201621,183.0
NE073,0.20741920801092398,2.021449704142012,6.827332726445154,127.0
NE075,0.11847501961810097,4.720180486528904,7.05406748626733,141.0
NE077,0.17348830142813737,1.925554542692191,6.793056821634762,228.0
NE079,0.18111413281866828,2.2648258619177124,6.736389156943591,412.0
NE081,0.20565579844386808,2.4052889959244164,6.609614672100778,159.0
NE083,0.20351387054161163,3.7505755802981695,6.9296659747122105,176.0
NE085,0.17870680044593087,1.8853065774804905,7.253623188405797,89.0
NE087,0.18330395817774459,1.7579761015683346,7.339746079163555,136.0
NE089,0.13589268360405388,2.123823406913786,6.708718589476607,437.0
