areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
NY001,288688,26979272,Allis,85,H1,0,23,0.19,5.5,4.8
NY001,288689,26979273,Angola,80,H1,0,25,0.2,4.5,6.7
NY001,288690,26979280,Angola,90,H1,0,25,0.2,4.5,6.7
NY001,288691,26979287,Angola,85,H1,0,25,0.2,4.5,6.7
NY001,288692,26979648,Arnot,80,Oe,0,2,0.23,80.0,4.8
NY001,288692,26979649,Tuller,5,H1,0,20,0.12,6.5,4.8
NY001,288692,26979650,Greene,5,H1,0,23,0.15,6.0,5.0
NY001,288692,26979651,Lordstown,10,Ap,0,18,0.18,5.0,5.5
NY001,288693,26979652,Arnot,60,Oe,0,2,0.23,80.0,4.8
NY001,288693,26979653,Tuller,5,H1,0,20,0.12,6.5,4.8
NY001,288693,26979654,Lordstown,5,Oe,0,3,0.23,80.0,4.8
NY001,288694,26979656,Arnot,45,Oe,0,2,0.23,80.0,4.8
NY001,288694,26979657,Lordstown,13,Oe,0,3,0.23,80.0,4.8
NY001,288694,26979658,Cadosia,12,A,0,3,0.12,15.5,4.5
NY001,288695,26979291,Birdsall,85,H1,0,20,0.24,5.0,5.3
NY001,288696,26979297,Burdett,85,H1,0,20,0.18,4.5,6.2
NY001,288697,26979301,Burdett,85,H1,0,20,0.18,4.5,6.2
NY001,288698,26979411,Burdett,85,H1,0,20,0.18,4.5,6.2
NY001,288699,26979076,Burdett,80,H1,0,20,0.18,4.5,6.2
NY001,288700,26979083,Busti,85,H1,0,23,0.17,4.0,6.1
NY001,288701,26979088,Busti,85,H1,0,23,0.17,4.0,6.1
NY001,288703,26979097,Castile,85,H1,0,13,0.13,7.0,5.3
NY001,288704,26979101,Castile,85,H1,0,13,0.13,7.0,5.3
NY001,288705,26979105,Chautauqua,85,H1,0,20,0.12,4.0,5.8
NY001,288706,26979302,Chautauqua,85,H1,0,20,0.12,4.0,5.8
NY001,288707,26979309,Chenango,90,H1,0,28,0.1,4.0,5.0
NY001,288708,26979315,Chenango,90,H1,0,28,0.1,4.0,5.0
NY001,288709,26979320,Chenango,90,H1,0,28,0.1,4.0,5.0
NY001,288710,26979324,Chenango,85,H1,0,28,0.1,4.0,5.0
NY001,288711,26979325,Chenango,85,H1,0,28,0.1,4.0,5.0
NY001,288712,26979333,Claverack,90,H1,0,23,0.09,4.0,6.2
NY001,288713,26979340,Claverack,85,H1,0,23,0.09,4.0,6.2
NY001,288714,26979346,Colonie,85,H1,0,18,0.1,1.5,5.8
NY001,288715,26979350,Colonie,85,H1,0,18,0.1,1.5,5.8
NY001,288716,26979354,Colonie,85,H1,0,18,0.1,1.5,5.8
NY001,288717,26979360,Colonie,80,H1,0,18,0.1,1.5,5.8
NY001,288718,26979115,Colonie,85,H1,0,18,0.1,1.5,5.8
NY001,288719,26979121,Cosad,85,H1,0,23,0.11,5.0,5.8
NY001,288721,26979123,Elmridge,85,H1,0,23,0.16,4.0,5.9
NY001,288722,26979129,Elmridge,90,H1,0,23,0.16,4.0,5.9
NY001,288723,26979133,Elnora,85,H1,0,28,0.12,4.0,5.1
NY001,288724,26979138,Elnora,85,H1,0,28,0.12,4.0,5.1
NY001,288725,26979146,Farmington,85,H1,0,23,0.15,4.0,6.2
NY001,288726,26979364,Farmington,50,H1,0,23,0.15,4.0,6.2
NY001,288727,26979370,Farmington,45,H1,0,23,0.15,4.0,6.2
NY001,288728,26979375,Farmington,45,H1,0,23,0.15,4.0,6.2
NY001,288729,26979381,Farmington,35,H1,0,23,0.15,4.0,6.2
NY001,288729,26979382,Wassaic,30,H1,0,23,0.17,4.0,6.5
NY001,288730,26979388,Fluvaquents,45,H1,0,13,0.12,2.5,5.9
NY001,288730,26979389,Udifluvents,35,H1,0,10,0.11,2.0,5.9
NY001,288731,26979397,Granby,80,H1,0,28,0.11,7.0,6.5
NY001,288732,26979398,Hamlin,80,H1,0,28,0.2,4.0,6.2
NY001,288733,26979408,Hornell,90,H1,0,18,0.19,5.0,4.6
NY001,288734,26979416,Hornell,90,H1,0,18,0.19,5.0,4.6
NY001,288735,26979419,Hornell,90,H1,0,18,0.19,5.0,4.6
NY001,288736,26979420,Howard,90,H1,0,20,0.13,4.0,6.2
NY001,288737,26979424,Howard,90,H1,0,20,0.13,4.0,6.2
NY001,288738,26979428,Howard,90,H1,0,20,0.13,4.0,6.2
