areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
PA001,545545,27262580,Croton,5,Ap,0,28,0.2,2.0,6.2
PA001,545545,27262581,Penn,5,Ap,0,25,0.2,4.46,6.4
PA001,545545,27262582,Abbottstown,90,Ap,0,25,0.19,2.5,6.1
PA001,545546,27262587,Klinesville,5,Ap,0,13,0.08,2.0,6.2
PA001,545546,27262588,Croton,5,Ap,0,28,0.2,2.0,6.2
PA001,545546,27262589,Penn,5,Ap,0,25,0.2,4.46,6.4
PA001,545546,27262590,Abbottstown,85,Ap,0,25,0.19,2.5,6.1
PA001,545547,27262148,Arendtsville,85,Ap,0,23,0.14,2.5,5.4
PA001,545547,27262149,Penn,5,H1,0,23,0.18,2.0,5.4
PA001,545547,27262150,Athol,5,H1,0,25,0.17,3.0,5.8
PA001,545547,27262151,Readington,5,H1,0,25,0.21,2.0,5.1
PA001,545548,27262152,Athol,4,H1,0,25,0.17,3.0,5.8
PA001,545548,27262153,Highfield,3,H1,0,23,0.14,2.0,5.4
PA001,545548,27262154,Penn,5,H1,0,23,0.18,2.0,5.4
PA001,545548,27262155,Arendtsville,85,Ap,0,23,0.14,2.5,5.4
PA001,545548,27262156,Readington,3,H1,0,25,0.21,2.0,5.1
PA001,545549,27262157,Arendtsville,80,Ap,0,23,0.14,2.5,5.4
PA001,545549,27262158,Klinesville,4,H1,0,20,0.1,1.25,5.3
PA001,545549,27262159,Penn,4,H1,0,23,0.17,3.0,5.4
PA001,545549,27262160,Highfield,4,H1,0,23,0.15,2.0,5.4
PA001,545549,27262161,Catoctin,4,H1,0,23,0.14,1.25,5.8
PA001,545549,27262162,Myersville,4,H1,0,23,0.17,2.0,5.3
PA001,545550,27262163,Steinsburg,5,H1,0,25,0.12,2.0,5.4
PA001,545550,27262164,Catoctin,5,H1,0,23,0.14,1.25,5.8
PA001,545550,27262165,Penn,5,H1,0,23,0.17,3.0,5.4
PA001,545550,27262166,Klinesville,5,H1,0,20,0.1,1.25,5.3
PA001,545550,27262167,Arendtsville,80,H1,0,23,0.14,2.5,5.4
PA001,545551,27262168,Athol,85,H1,0,25,0.17,3.0,5.8
PA001,545551,27262169,Penn,3,H1,0,23,0.18,2.0,5.4
PA001,545551,27262170,Abbottstown,3,H1,0,25,0.19,2.5,5.4
PA001,545551,27262171,Readington,3,H1,0,25,0.21,2.0,5.1
PA001,545551,27262172,Clarksburg,3,H1,0,20,0.17,2.0,5.8
PA001,545551,27262173,Penlaw,3,H1,0,25,0.18,3.0,6.5
PA001,545552,27262174,Athol,85,H1,0,25,0.17,3.0,5.4
