areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
SD003,354824,27259415,Alwilda,85,H1,0,15,0.19,3.0,6.5
SD003,354824,27259416,Delmont,3,H1,0,13,0.19,3.0,7.0
SD003,354824,27259417,Dimo,3,H1,0,18,0.19,5.0,6.5
SD003,354824,27259418,Enet,3,H1,0,18,0.19,3.0,6.5
SD003,354824,27259419,Plankinton,3,H1,0,20,0.21,4.5,6.5
SD003,354824,27259420,Tetonka,3,H1,0,30,0.21,6.0,6.5
SD003,354825,27259421,Bon,3,H1,0,56,0.21,5.0,7.5
SD003,354825,27259422,Delmont,3,H1,0,13,0.19,3.0,7.0
SD003,354825,27259423,Dimo,3,H1,0,18,0.19,5.0,6.5
SD003,354825,27259424,Durrstein,3,H1,0,5,0.21,2.0,6.7
SD003,354825,27259425,Enet,3,H1,0,18,0.19,3.0,6.5
SD003,354825,27259426,Arlo,85,H1,0,18,0.19,3.0,7.5
SD003,354827,27259588,Stickney,30,Ap,0,15,0.22,3.5,7.0
SD003,354827,27259589,Dudley,3,Ap,0,15,0.22,3.5,7.0
SD003,354827,27259590,Tetonka,2,Ap,0,20,0.23,5.0,6.5
SD003,354827,27259591,Beadle,60,Ap,0,15,0.2,3.0,6.7
SD003,354827,27259592,Ethan,5,Ap,0,19,0.2,2.5,7.7
SD003,354828,27259582,Dudley,35,Ap,0,15,0.22,3.5,7.0
SD003,354828,27259583,Stickney,8,Ap,0,15,0.22,3.5,7.0
SD003,354828,27259584,Jerauld,3,E,0,8,0.22,2.0,7.0
SD003,354828,27259585,Hoven,2,E,0,10,0.22,3.0,7.0
SD003,354828,27259586,Tetonka,2,Ap,0,20,0.23,5.0,6.5
SD003,354828,27259587,Beadle,50,Ap,0,15,0.2,3.0,6.7
SD003,354829,27259534,Betts,55,A,0,8,0.2,2.5,7.7
SD003,354829,27259535,Talmo,2,A,0,18,0.19,3.0,7.2
SD003,354829,27259536,Davis,2,A,0,23,0.2,5.0,6.7
