areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
TN135,560596,26701734,Armour,95,H1,0,25,0.2,2.2,5.6
TN135,560597,26701691,Mimosa,2,Ap,0,15,0.16,1.5,5.6
TN135,560597,26701692,Armour,90,A,0,48,0.21,2.0,5.6
TN135,560597,26701693,Byler,4,Ap,0,8,0.21,2.0,5.6
TN135,560597,26701694,Arrington,4,Ap,0,66,0.21,2.5,6.5
TN135,560598,26701623,Armour,85,A,0,48,0.21,2.0,5.6
TN135,560598,26701624,Arrington,7,Ap,0,66,0.21,2.5,6.5
TN135,560598,26701625,Byler,5,Ap,0,8,0.21,2.0,5.6
TN135,560598,26701626,Lindell,3,Ap,0,18,0.18,2.0,6.5
TN135,560599,26701735,Arrington,90,Ap,0,66,0.21,2.0,6.5
TN135,560599,26701736,Ocana,2,Ap,0,20,0.15,2.0,6.5
TN135,560599,26701737,Lindell,2,Ap,0,18,0.18,2.0,6.5
TN135,560599,26701738,Egam,4,A,0,56,0.2,2.5,6.5
TN135,560599,26701739,Armour,2,A,0,48,0.21,2.0,5.6
TN135,560600,26701668,Chenneby,45,H1,0,30,0.17,2.0,5.3
TN135,560600,26701669,Beason,50,H1,0,18,0.19,2.0,5.3
TN135,560601,26701627,Lax,5,H1,0,13,0.2,1.8,5.5
TN135,560601,26701628,Biffle,85,A,0,25,0.14,1.0,4.5
TN135,560601,26701629,Hawthorne,3,A,0,15,0.14,2.0,4.5
TN135,560601,26701630,Sulphura,2,A,0,25,0.15,2.0,5.5
TN135,560601,26701631,Ironcity,5,A,0,3,0.14,1.25,5.0
TN135,560602,26701740,Biffle,85,A,0,25,0.13,1.0,4.5
TN135,560602,26701741,Sugargrove,3,Ap,0,18,0.16,2.0,5.0
TN135,560602,26701742,Hawthorne,6,A,0,15,0.16,2.0,4.5
TN135,560602,26701743,Sulphura,6,A,0,25,0.15,2.0,5.5
TN135,560603,26701670,Biffle,85,A,0,25,0.13,1.0,4.5
