areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
TX616,618473,27224290,Alazan,85,A,0,8,0.14,1.25,5.3
TX616,618473,27224291,Mollville,15,"A, E",0,43,0.18,0.75,5.3
TX297,369663,27082329,Picosa,75,H1,0,15,0.13,2.0,7.9
TX297,369665,27082437,Rhymes,85,A,0,25,0.07,0.75,6.3
TX297,369666,27082399,Rosenbrock,75,A,0,20,0.15,3.5,7.6
TX297,369672,27082343,Sinton,80,H1,0,64,0.18,2.0,7.9
TX297,369673,27082346,Sinton,80,H1,0,56,0.18,2.0,7.9
TX297,369674,27082421,Tiocano,90,A,0,20,0.15,3.5,7.2
TX297,369675,27082349,Ustarents,70,H1,0,15,0.15,1.25,7.5
TX299,369781,27082491,Campair,100,H1,0,28,0.06,0.75,6.7
TX299,369782,27082562,Castell,89,A,0,20,0.1,0.8,6.3
TX299,369783,27082492,Cho,100,H1,0,36,0.13,1.5,8.2
TX299,369784,27082579,Click,90,A,0,28,0.06,0.6,5.9
TX299,369786,27082496,Eckrant,80,H1,0,10,0.09,6.5,7.5
TX299,369793,27082556,Hye,90,A,0,46,0.13,0.75,6.7
TX299,369794,27082505,Katemcy,100,H1,0,23,0.13,2.0,7.0
TX299,369795,27082585,Keese,84,A,0,13,0.1,0.9,6.1
TX299,369796,27082601,Keese,54,A,0,13,0.1,0.9,6.1
TX299,369797,27082604,Keese,15,A,0,13,0.1,0.9,6.1
TX299,369797,27082605,Keese,38,A,0,13,0.1,0.9,6.1
TX299,369798,27082506,Krum,100,H1,0,30,0.18,2.0,7.9
TX299,369799,27082507,Ligon,100,H1,0,10,0.13,2.0,6.7
TX299,369800,27082508,Ligon,100,H1,0,8,0.08,2.0,7.0
TX299,369808,27082518,Oplin,70,H1,0,25,0.13,6.0,8.2
TX299,369809,27082521,Oplin,66,H1,0,25,0.13,6.0,8.2
TX299,369810,27082522,Packsaddle,100,H1,0,15,0.13,5.0,6.7
TX299,369811,27082612,Pedernales,90,Ap,0,28,0.13,0.75,7.0
TX299,369812,27082590,Pontotoc,90,A,0,48,0.13,1.2,6.5
TX299,369813,27082523,Real,100,H1,0,20,0.08,6.0,8.2
TX299,369814,27082524,Real,100,H1,0,10,0.08,6.0,8.2
TX299,369815,27082525,Riverwash,100,H1,0,152,0.03,0.5,8.2
TX299,369816,27082528,Riverwash,86,H1,0,152,0.03,0.5,8.2
TX299,369819,27082533,Roughcreek,75,H1,0,15,0.13,2.0,7.0
TX299,369820,27082596,Rumple,90,A,0,13,0.07,4.0,7.0
TX299,369821,27082536,Venus,100,H1,0,38,0.18,1.5,8.2
TX299,369822,27082538,Venus,99,H1,0,46,0.18,2.0,8.2
TX305,379063,27109179,Seagraves,85,Ap,0,64,0.13,0.5,7.5
TX305,379063,27109180,Tokio,6,Ap,0,24,0.14,1.0,8.3
TX305,379063,27109181,Lamesa,5,A,0,28,0.15,2.5,7.7
TX305,379063,27109182,Amarillo,4,Ap,0,24,0.14,0.9,7.5
TX305,379064,27109007,Sharvana,85,A,0,16,0.11,0.7,6.9
TX305,379064,27109008,Stohman,6,A,0,10,0.13,1.56,8.1
TX305,379064,27109009,Kimberson,5,A1,0,13,0.14,2.9,7.8
TX305,379064,27109010,Arvana,4,Ap,0,24,0.15,0.85,8.0
TX305,379065,27109118,Sparenberg,80,Ap,0,10,0.16,2.2,7.9
TX305,379065,27109119,Chapel,5,A,0,13,0.16,2.8,7.6
TX305,379065,27109120,Seagraves,5,Ap,0,64,0.13,0.5,7.5
TX305,379065,27109121,Ranco,10,A,0,23,0.16,2.6,7.8
TX305,379066,27108973,Tokio,80,Ap,0,24,0.14,1.0,8.3
TX305,379066,27108974,Amarillo,10,Ap,0,26,0.14,0.9,7.5
TX305,379066,27108975,Midessa,5,A,0,25,0.12,0.55,8.2
TX305,379066,27108976,Tokio,5,Ap,0,28,0.1,0.31,8.3
TX305,379067,27109031,Tokio,80,Ap,0,28,0.1,0.31,7.4
TX305,379069,27108990,Zita,85,Ap,0,15,0.12,1.5,8.3
TX305,379069,27108991,Acuff,6,Ap,0,30,0.17,2.5,7.2
TX305,379069,27108992,Amarillo,5,Ap,0,26,0.14,0.9,7.5
TX305,379069,27108993,Arvana,4,Ap,0,28,0.15,0.85,8.0
TX305,379070,27109062,Zita,85,Ap,0,12,0.12,1.5,8.3
TX305,379070,27109063,Acuff,6,Ap,0,27,0.17,2.5,7.2
TX305,379070,27109064,Amarillo,5,Ap,0,24,0.14,0.9,7.5
TX305,379070,27109065,Arvana,4,Ap,0,24,0.15,0.85,8.0
TX305,379071,27109136,Zita,85,Ap,0,18,0.14,2.2,8.2
TX305,379071,27109137,Friona,3,Ap,0,20,0.17,2.5,7.5
TX305,379071,27109138,Portales,8,Ap,0,38,0.15,2.1,8.1
TX305,379071,27109139,Acuff,4,Ap,0,30,0.13,2.5,7.2
TX305,379072,27108998,Creta,85,A,0,20,0.17,1.16,8.2
TX307,369938,27109401,Clairemont,89,A,0,15,0.18,1.25,8.2
