areasymbol,awc_r_wmean,om_r_wmean,ph1to1h2o_r_wmean,n_records
VA001,0.10015736040609136,4.588071065989848,5.648324873096446,30.0
VA003,0.1543523102310231,1.7816625412541254,5.228695190947666,232.0
VA005,0.14962709075952838,4.479750479846449,5.120976144776529,151.0
VA007,0.14957507895492392,1.3464685615848404,5.028194085558426,73.0
VA009,0.1577966940512719,1.75965059883203,5.224072057804612,155.0
VA011,0.13847000937207124,1.6006326148078727,5.257802249297093,77.0
VA013,0.15783783783783784,1.861003861003861,4.96061776061776,32.0
VA015,0.14293736501079912,3.2550995920326375,5.3961923046156315,212.0
VA017,0.1460221660040959,4.028345982411757,4.964293458619443,170.0
VA019,0.1402420225065516,1.7474179127485738,5.227146600894094,85.0
VA021,0.1426022746562553,5.842683754880328,5.257613308436598,95.0
VA023,0.14975325108369458,3.197871512726464,5.304946093142158,131.0
VA025,0.14135547355473557,1.442619926199262,5.308093480934809,66.0
VA027,0.1342710918114144,11.374705334987597,5.339702233250619,63.0
VA029,0.14704518531054322,1.5057539346759183,5.419072601116939,121.0
VA033,0.11873503383654346,2.366931285788652,5.306507027589796,81.0
VA035,0.1560409999135023,2.1512628665340374,5.254484906149988,159.0
VA036,0.13799758987748548,2.4051817634063073,5.084555131552521,114.0
VA037,0.1385681735326285,1.2635116660590593,5.4301950419249,151.0
VA041,0.12423294951284325,1.4842781222320642,5.165199291408325,191.0
VA043,0.15533649461973376,1.8645358380448658,5.540999452854278,108.0
VA045,0.14749323140627488,5.590380633858895,5.153113553113554,105.0
VA047,0.1661952528962984,1.871114721672789,5.083738344165019,176.0
VA049,0.1423257080610022,1.4357752360203337,5.65974945533769,115.0
VA051,0.13897196261682246,9.943720794392522,5.328183411214953,66.0
VA057,0.13090201627166606,2.5787937743190663,5.052423063318003,47.0
VA059,0.158215859030837,1.2978897257353985,5.163080858320307,330.0
VA061,0.1624809923969588,1.71968787515006,5.1916686674669865,223.0
VA063,0.16664559819413094,3.3071106094808127,5.400300978179082,124.0
VA065,0.1432308673469388,1.470248724489796,5.3207015306122445,142.0
VA067,0.14358216036691446,2.4279614107227583,5.1988771152933735,153.0
VA069,0.15105408951742239,4.102420177868494,5.586601545414783,115.0
VA071,0.15376125375125044,2.9064271423807937,5.321207069023008,78.0
VA073,0.13009453781512606,2.9344143907563027,5.158009453781513,81.0
VA075,0.13869769490530023,1.4587432095140218,5.288856261929232,93.0
VA077,0.16519078687228156,5.410018782127324,5.259905100830369,165.0
VA079,0.14901280157557853,1.568562284588872,5.198941408173312,63.0
VA081,0.13392951078379803,1.239216201998948,5.140610205155181,75.0
VA083,0.15163172043010759,1.4810819892473122,5.635604838709677,110.0
VA085,0.12607690775054792,1.6417613070332735,5.20142458657103,281.0
VA087,0.1338664158043274,1.6865266018605625,5.178342218041183,143.0
VA089,0.11117381489841986,1.56941309255079,5.206772009029345,53.0
VA091,0.14162773359840952,6.355032306163022,4.912611829025845,167.0
VA093,0.12164089023010186,3.5382874387023766,5.001961523953225,74.0
VA097,0.12391982182628064,2.701161310849507,5.451384027998729,74.0
VA101,0.11169028871391078,2.391601049868767,5.33475065616798,94.0
VA105,0.17208459214501512,3.2060045317220545,5.519486404833836,112.0
VA107,0.16573375394321768,1.5886119873817033,5.262561514195584,154.0
