areasymbol,mukey,cokey,compname,comppct_r,hzname,hzdept_r,hzdepb_r,awc_r,om_r,ph1to1h2o_r
WI001,3182205,27500899,Seelyeville,95,Oa1,0,30,0.4,50.0,5.3
WI001,3182205,27500900,Cathro,2,Oa,0,102,0.4,55.0,6.2
WI001,3182205,27500901,Markey,3,Oa1,0,20,0.4,50.0,5.4
WI001,3182112,27500895,Cathro,1,Oa,0,102,0.4,55.0,6.2
WI001,3182112,27500896,Seelyeville,2,Oa1,0,30,0.4,50.0,5.3
WI001,3182112,27500897,Newson,2,Oa,0,2,0.4,50.0,4.6
WI001,3182112,27500898,Markey,95,Oa1,0,20,0.4,50.0,5.4
WI001,3182111,27500902,Bowstring,85,Oa,0,46,0.4,55.0,6.2
WI001,3182111,27500903,Fordum,5,A,0,18,0.23,5.0,5.6
WI001,3182111,27500904,Evart,7,A,0,28,0.23,5.0,4.6
WI001,422938,27500891,Merit,2,Ap,0,23,0.22,2.5,5.9
WI001,422938,27500892,Elevasil,6,Ap,0,23,0.14,2.5,5.9
WI001,422938,27500893,Hixton,90,Ap,0,23,0.23,1.5,6.2
WI001,422938,27500894,Hixton,2,Ap,0,20,0.23,1.5,6.5
WI001,422922,27500682,Boone,95,"A,E",0,10,0.09,0.75,5.8
WI001,422922,27500683,Gale,3,Ap,0,20,0.23,2.0,5.9
WI001,422922,27500684,Plainfield,2,A,0,10,0.07,1.25,6.2
WI001,422923,27500685,Plainfield,2,A,0,10,0.07,1.25,6.2
WI001,422923,27500686,Gale,3,Ap,0,20,0.23,2.0,5.9
WI001,422923,27500687,Boone,95,"A,E",0,10,0.09,0.75,5.8
WI001,422924,27500688,Plainfield,2,A,0,10,0.07,1.25,6.2
WI001,422924,27500689,Gale,2,Ap,0,20,0.23,2.0,5.9
WI001,422924,27500690,Boone,95,"A,E",0,10,0.09,0.75,5.8
WI001,422936,27500723,Elkmound,90,Ap,0,23,0.1,0.75,5.5
WI001,422936,27500724,Boone,7,"A,E",0,10,0.09,0.75,5.8
WI001,422936,27500725,Partridge,3,A,0,8,0.1,0.75,4.6
WI001,422966,27500748,Billett,7,Ap,0,20,0.16,1.5,6.2
WI001,422966,27500749,Grays,3,"Ap,E,Bw",0,46,0.23,3.0,6.1
WI001,422966,27500750,Tell,90,"Ap,E",0,30,0.23,2.0,6.2
WI001,422921,27500678,Kibbie,2,"Ap,E",0,30,0.2,2.5,6.5
WI001,422921,27500679,Billett,90,Ap,0,20,0.16,1.5,6.2
WI001,422921,27500680,Richford,3,Ap,0,18,0.11,0.75,6.5
WI001,422921,27500681,Plainfield,5,A,0,10,0.07,1.25,6.2
WI001,422965,27500746,Sparta,95,"Ap,A,AB",0,43,0.11,1.5,6.2
WI001,422965,27500747,Billett,5,Ap,0,20,0.16,1.5,6.2
WI001,422932,27500710,Briggsville,2,"Ap,E",0,30,0.22,2.0,6.2
WI001,422932,27500711,Wyeville,1,Ap,0,25,0.11,0.75,6.5
WI001,422932,27500712,Plainfield,2,A,0,10,0.07,1.25,6.2
WI001,422932,27500713,Delton,95,Ap,0,25,0.08,0.75,5.8
WI001,422933,27500714,Wyeville,1,Ap,0,25,0.11,0.75,6.5
WI001,422933,27500715,Sisson,2,"Ap,E,Bw",0,41,0.16,2.0,6.7
WI001,422933,27500716,Plainfield,2,A,0,10,0.07,1.25,6.2
WI001,422933,27500717,Delton,95,Ap,0,25,0.08,0.75,5.8
WI001,422934,27500718,Delton,95,Ap,0,25,0.08,0.75,5.8
WI001,422934,27500719,Plainfield,5,A,0,10,0.07,1.25,6.2
WI001,422935,27500720,Wyeville,2,Ap,0,25,0.11,0.75,6.5
WI001,422935,27500721,Plainfield,3,A,0,10,0.07,1.25,6.2
WI001,422935,27500722,Delton,95,Ap,0,25,0.08,0.75,5.8
WI001,422969,27500756,Wautoma,3,Ap,0,20,0.11,6.0,5.8
WI001,422969,27500757,Brems,2,"Ap,A",0,18,0.1,1.25,5.8
WI001,422969,27500758,Delton,5,Ap,0,25,0.08,0.75,5.8
WI001,422969,27500759,Wyeville,90,Ap,0,25,0.11,0.75,6.5
WI001,422968,27500753,Meehan,5,Ap,0,20,0.11,1.75,5.1
WI001,422968,27500754,Wyeville,3,Ap,0,25,0.11,0.75,6.5
WI001,422968,27500755,Wautoma,90,Ap,0,20,0.11,6.0,5.8
WI001,3182115,27500907,Hubbard,85,Ap,0,20,0.11,2.0,5.8
WI001,3182115,27500908,Dunnville,3,Ap,0,20,0.21,3.5,5.4
WI001,3182115,27500909,Menahga,7,A,0,8,0.08,1.5,5.2
WI001,3182115,27500910,Pelkie,5,A,0,10,0.11,1.75,4.9
WI001,3182113,27500911,Hubbard,3,Ap,0,20,0.11,2.0,5.8
WI001,3182113,27500912,Menahga,5,A,0,8,0.08,1.5,5.2
WI001,3182113,27500913,Caryville,85,Ap,0,23,0.17,2.0,6.1
WI001,3182113,27500914,Sturgeon,7,A,0,10,0.18,2.5,4.6
WI001,422920,27500675,Brems,3,"Ap,A",0,18,0.1,1.25,5.8
WI001,422920,27500676,Au Gres,90,"A,E",0,15,0.08,4.25,5.5
WI001,422920,27500677,Newson,7,A,0,20,0.11,9.5,4.8
WI001,422956,27500815,Friendship,5,A,0,5,0.08,1.25,5.8
WI001,422956,27500816,Meehan,3,A,0,10,0.08,1.75,5.1
WI001,422956,27500817,Plainfield,90,Ap,0,18,0.08,1.25,5.2
WI001,422956,27500818,Richford,2,Ap,0,18,0.11,0.75,6.5
WI001,422957,27500819,Plainfield,90,Ap,0,18,0.08,1.25,5.2
WI001,422957,27500820,Richford,2,Ap,0,18,0.11,0.75,6.5
WI001,422957,27500821,Friendship,5,A,0,5,0.08,1.25,5.8
WI001,422957,27500822,Meehan,3,A,0,10,0.08,1.75,5.1
WI001,422958,27500823,Plainbo,3,A,0,8,0.08,0.75,5.1
WI001,422958,27500824,Plainfield,90,Ap,0,18,0.08,1.25,5.7
WI001,422958,27500825,Richford,2,Ap,0,18,0.11,0.75,6.5
WI001,422958,27500826,Friendship,5,A,0,5,0.08,1.25,5.8
WI001,422959,27500827,Plainbo,3,A,0,8,0.08,0.75,5.1
WI001,422959,27500828,Richford,4,Ap,0,18,0.11,0.75,6.5
WI001,422959,27500829,Plainfield,93,A,0,10,0.08,1.25,5.2
WI001,422961,27500830,Richford,90,Ap,0,18,0.11,1.25,6.2
WI001,422961,27500831,Plainfield,6,Ap,0,20,0.11,1.25,6.2
WI005,431348,27663633,Wickware,90,Ap,0,25,0.23,2.0,6.8
WI005,431348,27663634,Doritty,5,Ap,0,23,0.23,2.5,6.8
WI005,431348,27663635,Dobie,3,Ap,0,20,0.23,2.5,6.4
WI005,431348,27663636,Kevilar,2,Ap,0,23,0.14,2.5,5.8
WI005,431349,27663630,Doritty,2,Ap,0,23,0.23,2.5,6.8
