year,state_name,state_alpha,region,week_ending,week,excellent,good,fair,poor,very poor
2005,COLORADO,CO,Semi-Arid Continental,2005-05-22,20,18.0,60.0,21.0,1.0,0.0
2005,COLORADO,CO,Semi-Arid Continental,2005-05-29,21,22.0,56.0,19.0,3.0,0.0
2005,COLORADO,CO,Semi-Arid Continental,2005-06-05,22,30.0,52.0,17.0,1.0,0.0
2005,COLORADO,CO,Semi-Arid Continental,2005-06-12,23,35.0,52.0,12.0,1.0,0.0
2005,COLORADO,CO,Semi-Arid Continental,2005-06-19,24,39.0,48.0,12.0,1.0,0.0
2005,COLORADO,CO,Semi-Arid Continental,2005-06-26,25,43.0,48.0,7.0,2.0,0.0
2005,COLORADO,CO,Semi-Arid Continental,2005-07-03,26,46.0,42.0,10.0,2.0,0.0
2005,COLORADO,CO,Semi-Arid Continental,2005-07-10,27,47.0,40.0,11.0,2.0,0.0
2005,COLORADO,CO,Semi-Arid Continental,2005-07-17,28,36.0,47.0,14.0,3.0,0.0
2005,COLORADO,CO,Semi-Arid Continental,2005-07-24,29,32.0,46.0,18.0,4.0,0.0
2005,COLORADO,CO,Semi-Arid Continental,2005-07-31,30,28.0,45.0,20.0,6.0,1.0
2005,COLORADO,CO,Semi-Arid Continental,2005-08-07,31,29.0,39.0,21.0,9.0,2.0
2005,COLORADO,CO,Semi-Arid Continental,2005-08-14,32,21.0,43.0,24.0,9.0,3.0
2005,COLORADO,CO,Semi-Arid Continental,2005-08-21,33,21.0,43.0,25.0,8.0,3.0
2005,COLORADO,CO,Semi-Arid Continental,2005-08-28,34,16.0,43.0,29.0,9.0,3.0
2005,COLORADO,CO,Semi-Arid Continental,2005-09-04,35,16.0,43.0,29.0,9.0,3.0
2005,COLORADO,CO,Semi-Arid Continental,2005-09-11,36,16.0,43.0,28.0,10.0,3.0
2005,COLORADO,CO,Semi-Arid Continental,2005-09-18,37,18.0,44.0,25.0,10.0,3.0
2005,COLORADO,CO,Semi-Arid Continental,2005-09-25,38,22.0,42.0,23.0,10.0,3.0
2005,COLORADO,CO,Semi-Arid Continental,2005-10-02,39,21.0,47.0,22.0,7.0,3.0
2005,COLORADO,CO,Semi-Arid Continental,2005-10-09,40,26.0,47.0,21.0,4.0,2.0
2005,COLORADO,CO,Semi-Arid Continental,2005-10-16,41,16.0,52.0,23.0,6.0,3.0
2005,IOWA,IA,Temperate Humid,2005-05-22,20,11.0,51.0,28.0,7.0,3.0
2005,IOWA,IA,Temperate Humid,2005-05-29,21,11.0,51.0,27.0,8.0,3.0
2005,IOWA,IA,Temperate Humid,2005-06-05,22,15.0,54.0,23.0,6.0,2.0
2005,IOWA,IA,Temperate Humid,2005-06-12,23,21.0,52.0,22.0,4.0,1.0
2005,IOWA,IA,Temperate Humid,2005-06-19,24,21.0,57.0,18.0,3.0,1.0
2005,IOWA,IA,Temperate Humid,2005-06-26,25,20.0,57.0,18.0,4.0,1.0
2005,IOWA,IA,Temperate Humid,2005-07-03,26,24.0,54.0,18.0,3.0,1.0
2005,IOWA,IA,Temperate Humid,2005-07-10,27,24.0,52.0,19.0,4.0,1.0
2005,IOWA,IA,Temperate Humid,2005-07-17,28,17.0,49.0,25.0,7.0,2.0
2005,IOWA,IA,Temperate Humid,2005-07-24,29,21.0,46.0,23.0,8.0,2.0
2005,IOWA,IA,Temperate Humid,2005-07-31,30,20.0,48.0,21.0,8.0,3.0
2005,IOWA,IA,Temperate Humid,2005-08-07,31,19.0,49.0,20.0,10.0,2.0
2005,IOWA,IA,Temperate Humid,2005-08-14,32,19.0,51.0,20.0,7.0,3.0
2005,IOWA,IA,Temperate Humid,2005-08-21,33,22.0,46.0,21.0,8.0,3.0
2005,IOWA,IA,Temperate Humid,2005-08-28,34,21.0,48.0,20.0,8.0,3.0
2005,IOWA,IA,Temperate Humid,2005-09-04,35,22.0,46.0,21.0,8.0,3.0
2005,IOWA,IA,Temperate Humid,2005-09-11,36,24.0,43.0,21.0,9.0,3.0
2005,IOWA,IA,Temperate Humid,2005-09-18,37,21.0,47.0,21.0,8.0,3.0
2005,IOWA,IA,Temperate Humid,2005-09-25,38,21.0,49.0,20.0,7.0,3.0
2005,IOWA,IA,Temperate Humid,2005-10-02,39,23.0,50.0,19.0,6.0,2.0
2005,IOWA,IA,Temperate Humid,2005-10-09,40,23.0,50.0,19.0,6.0,2.0
2005,IOWA,IA,Temperate Humid,2005-10-16,41,32.0,45.0,17.0,4.0,2.0
2005,ILLINOIS,IL,Temperate Humid,2005-05-22,20,9.0,62.0,24.0,4.0,1.0
2005,ILLINOIS,IL,Temperate Humid,2005-05-29,21,6.0,54.0,33.0,6.0,1.0
2005,ILLINOIS,IL,Temperate Humid,2005-06-05,22,6.0,49.0,34.0,9.0,2.0
2005,ILLINOIS,IL,Temperate Humid,2005-06-12,23,7.0,47.0,35.0,8.0,3.0
2005,ILLINOIS,IL,Temperate Humid,2005-06-19,24,6.0,42.0,37.0,11.0,4.0
2005,ILLINOIS,IL,Temperate Humid,2005-06-26,25,3.0,29.0,40.0,20.0,8.0
2005,ILLINOIS,IL,Temperate Humid,2005-07-03,26,2.0,23.0,38.0,24.0,13.0
2005,ILLINOIS,IL,Temperate Humid,2005-07-10,27,1.0,15.0,32.0,30.0,22.0
2005,ILLINOIS,IL,Temperate Humid,2005-07-17,28,1.0,12.0,32.0,32.0,23.0
2005,ILLINOIS,IL,Temperate Humid,2005-07-24,29,1.0,12.0,31.0,35.0,21.0
2005,ILLINOIS,IL,Temperate Humid,2005-07-31,30,0.0,13.0,32.0,30.0,25.0
2005,ILLINOIS,IL,Temperate Humid,2005-08-07,31,0.0,12.0,27.0,32.0,29.0
2005,ILLINOIS,IL,Temperate Humid,2005-08-14,32,1.0,9.0,30.0,33.0,27.0
2005,ILLINOIS,IL,Temperate Humid,2005-08-21,33,0.0,12.0,29.0,33.0,26.0
2005,ILLINOIS,IL,Temperate Humid,2005-08-28,34,1.0,12.0,30.0,31.0,26.0
2005,ILLINOIS,IL,Temperate Humid,2005-09-04,35,0.0,14.0,29.0,32.0,25.0
2005,ILLINOIS,IL,Temperate Humid,2005-09-11,36,2.0,16.0,29.0,29.0,24.0
2005,ILLINOIS,IL,Temperate Humid,2005-09-18,37,3.0,18.0,31.0,27.0,21.0
2005,ILLINOIS,IL,Temperate Humid,2005-09-25,38,3.0,18.0,31.0,27.0,21.0
2005,ILLINOIS,IL,Temperate Humid,2005-10-02,39,3.0,18.0,31.0,27.0,21.0
2005,ILLINOIS,IL,Temperate Humid,2005-10-09,40,3.0,18.0,31.0,27.0,21.0
2005,ILLINOIS,IL,Temperate Humid,2005-10-16,41,3.0,18.0,31.0,27.0,21.0
2005,INDIANA,IN,Temperate Humid,2005-05-22,20,7.0,53.0,32.0,7.0,1.0
2005,INDIANA,IN,Temperate Humid,2005-05-29,21,6.0,52.0,33.0,8.0,1.0
2005,INDIANA,IN,Temperate Humid,2005-06-05,22,7.0,55.0,29.0,8.0,1.0
2005,INDIANA,IN,Temperate Humid,2005-06-12,23,7.0,54.0,31.0,7.0,1.0
2005,INDIANA,IN,Temperate Humid,2005-06-19,24,9.0,57.0,27.0,6.0,1.0
2005,INDIANA,IN,Temperate Humid,2005-06-26,25,7.0,49.0,33.0,9.0,2.0
2005,INDIANA,IN,Temperate Humid,2005-07-03,26,6.0,41.0,38.0,12.0,3.0
2005,INDIANA,IN,Temperate Humid,2005-07-10,27,4.0,30.0,39.0,20.0,7.0
2005,INDIANA,IN,Temperate Humid,2005-07-17,28,4.0,35.0,37.0,18.0,6.0
2005,INDIANA,IN,Temperate Humid,2005-07-24,29,7.0,39.0,35.0,14.0,5.0
2005,INDIANA,IN,Temperate Humid,2005-07-31,30,6.0,39.0,36.0,14.0,5.0
2005,INDIANA,IN,Temperate Humid,2005-08-07,31,5.0,38.0,35.0,16.0,6.0
2005,INDIANA,IN,Temperate Humid,2005-08-14,32,6.0,35.0,37.0,16.0,6.0
2005,INDIANA,IN,Temperate Humid,2005-08-21,33,5.0,36.0,36.0,17.0,6.0
2005,INDIANA,IN,Temperate Humid,2005-08-28,34,6.0,35.0,37.0,16.0,6.0
2005,INDIANA,IN,Temperate Humid,2005-09-04,35,6.0,36.0,37.0,15.0,6.0
2005,INDIANA,IN,Temperate Humid,2005-09-11,36,6.0,36.0,37.0,15.0,6.0
2005,INDIANA,IN,Temperate Humid,2005-09-18,37,5.0,38.0,37.0,14.0,6.0
2005,INDIANA,IN,Temperate Humid,2005-09-25,38,5.0,39.0,37.0,14.0,5.0
2005,INDIANA,IN,Temperate Humid,2005-10-02,39,8.0,39.0,35.0,13.0,5.0
2005,INDIANA,IN,Temperate Humid,2005-10-09,40,9.0,40.0,33.0,13.0,5.0
2005,INDIANA,IN,Temperate Humid,2005-10-16,41,10.0,44.0,31.0,10.0,5.0
2005,KANSAS,KS,Semi-Arid Continental,2005-05-22,20,5.0,56.0,34.0,5.0,0.0
2005,KANSAS,KS,Semi-Arid Continental,2005-05-29,21,6.0,54.0,37.0,3.0,0.0
2005,KANSAS,KS,Semi-Arid Continental,2005-06-05,22,5.0,55.0,36.0,3.0,1.0
2005,KANSAS,KS,Semi-Arid Continental,2005-06-12,23,8.0,53.0,37.0,2.0,0.0
2005,KANSAS,KS,Semi-Arid Continental,2005-06-19,24,11.0,55.0,29.0,5.0,0.0
2005,KANSAS,KS,Semi-Arid Continental,2005-06-26,25,10.0,58.0,28.0,4.0,0.0
2005,KANSAS,KS,Semi-Arid Continental,2005-07-03,26,10.0,62.0,24.0,4.0,0.0
2005,KANSAS,KS,Semi-Arid Continental,2005-07-10,27,10.0,57.0,27.0,5.0,1.0
2005,KANSAS,KS,Semi-Arid Continental,2005-07-17,28,10.0,51.0,31.0,7.0,1.0
2005,KANSAS,KS,Semi-Arid Continental,2005-07-24,29,8.0,51.0,30.0,9.0,2.0
2005,KANSAS,KS,Semi-Arid Continental,2005-07-31,30,9.0,45.0,33.0,11.0,2.0
2005,KANSAS,KS,Semi-Arid Continental,2005-08-07,31,7.0,46.0,32.0,12.0,3.0
2005,KANSAS,KS,Semi-Arid Continental,2005-08-14,32,7.0,45.0,33.0,12.0,3.0
2005,KANSAS,KS,Semi-Arid Continental,2005-08-21,33,5.0,46.0,33.0,12.0,4.0
2005,KANSAS,KS,Semi-Arid Continental,2005-08-28,34,4.0,41.0,37.0,14.0,4.0
2005,KANSAS,KS,Semi-Arid Continental,2005-09-04,35,5.0,43.0,34.0,14.0,4.0
2005,KANSAS,KS,Semi-Arid Continental,2005-09-11,36,5.0,43.0,37.0,11.0,4.0
2005,KANSAS,KS,Semi-Arid Continental,2005-09-18,37,3.0,37.0,42.0,14.0,4.0
2005,KANSAS,KS,Semi-Arid Continental,2005-09-25,38,5.0,47.0,34.0,11.0,3.0
2005,KANSAS,KS,Semi-Arid Continental,2005-10-02,39,5.0,48.0,32.0,11.0,4.0
